,Easting(m),Northing(m),Elevation(m)
0,370814.0625,3742177.75,-5.4591
1,370666.0,3742161.0,-6.3141
2,370279.375,3742117.25,-8.5465
3,369666.0,3742048.0,-13.7205
4,369210.75,3741996.75,-28.4866
5,369206.9375,3741996.25,-28.6103
6,369179.0937,3741991.0,-29.502
7,368666.0,3741892.25,-30.6453
8,368340.4688,3741829.5,-35.9283
9,368118.9062,3741787.0,-42.6936
10,368114.125,3741786.0,-42.8397
11,367666.0,3741770.0,-57.7881
12,366943.125,3741744.25,-69.6128
13,366937.25,3741744.0,-69.7087
14,366901.4375,3741739.5,-70.2354
15,366666.0,3741709.5,-79.6572
16,366483.7188,3741686.25,-89.6854
17,365666.0,3741582.25,-109.7857
18,365051.75,3741504.0,-115.6705
19,364666.0,3741455.0,-120.594
20,364639.625,3741451.5,-120.4822
21,364625.5625,3741449.75,-120.4226
22,364609.0,3741447.0,-120.3205
23,363666.0,3741290.0,-142.8051
24,363624.0313,3741283.0,-142.4209
25,363616.8125,3741281.75,-142.3547
26,363379.6562,3741217.75,-138.0931
27,362666.0,3741024.75,-211.2017
28,362077.5313,3740865.75,-202.6341
29,362061.6875,3740861.5,-202.4036
30,362018.25,3740856.25,-203.3927
31,361666.0,3740813.75,-224.4187
32,360880.6875,3740718.75,-245.3794
33,360666.0,3740692.75,-243.5605
34,359743.125,3740581.25,-340.0252
35,359666.0,3740571.75,-340.0189
36,359105.2188,3740504.0,-394.93
37,358713.375,3740456.5,-436.8032
38,358666.0,3740451.0,-441.6541
39,358326.0937,3740409.75,-464.5575
40,358236.875,3740399.0,-470.5694
