,Easting(m),Northing(m),Elevation(m)
0,480351.4844,3599977.7813,-390.4682
1,480238.0625,3600384.875,-336.484
2,480015.4375,3601015.0,-375.5357
3,479762.1719,3601723.2188,-417.6069
4,479497.125,3602443.75,-456.0329
5,479392.5937,3603062.4062,-364.2435
6,479312.7422,3603659.75,-289.2025
7,479282.75,3604257.0,-161.7802
8,479205.9922,3604876.2813,-20.25
9,478682.8828,3605581.8125,-148.0336
10,478023.8359,3606271.0938,-202.5727
11,477473.25,3606833.8438,-206.8631
12,477183.6094,3607120.5,-202.6573
13,476688.5156,3607685.4687,-197.4156
14,476165.7031,3608358.9687,-225.6472
15,475730.2656,3609034.75,-288.5562
16,475383.6172,3609562.9063,-334.2853
17,475235.4883,3609680.6562,-405.1414
