,Easting(m),Northing(m),Elevation(m)
0,469912.6055,3617958.3437,-254.3373
1,470102.6523,3618603.5313,-242.5799
2,470156.957,3619586.375,-282.5895
3,469952.5156,3620293.0937,-429.5811
4,469453.8125,3621110.2813,-328.327
5,469231.8633,3621769.0313,-116.4033
6,468992.7969,3622629.3125,-65.3402
7,469140.8984,3623540.125,-132.6787
8,469328.7227,3624412.9375,-156.5688
9,469738.7109,3625227.0625,-7.3395
10,469726.7695,3625962.0,-86.3055
11,469264.1172,3626902.0,-844.4192
12,468931.6328,3627826.7188,-1115.6354
13,468660.9922,3628770.375,-969.0649
14,468508.9609,3629908.4375,-547.1829
15,468758.043,3630878.5313,-242.2623
16,468758.9063,3631800.2813,-229.4188
17,468635.9141,3632545.25,-65.1549
18,468556.0078,3633112.3125,-222.2456
19,468882.4102,3633967.0313,-482.5757
20,469108.6719,3634948.0937,-533.5864
21,469179.2148,3636152.5,-773.3922
22,469322.1523,3637173.2813,-487.7122
23,469387.0234,3637964.9375,-420.8665
24,469579.6914,3638839.0,-515.5804
25,469958.0703,3639730.7812,-622.65
26,470193.375,3640606.1875,-572.5547
27,470190.5977,3641434.8438,-464.7029
28,470120.6875,3642697.8438,-420.8522
29,470057.8125,3643707.9688,-341.4895
30,469837.6523,3644632.75,-364.0163
31,469518.2695,3645546.6563,-449.908
32,469385.75,3646118.625,-674.7976
33,469318.0625,3646367.0625,-857.9041
