,Easting(m),Northing(m),Elevation(m)
0,459230.8203,3627255.9375,-1209.4938
1,459231.6523,3627447.4687,-1173.0258
2,459214.75,3627798.3125,-1120.2053
3,459172.6563,3628314.0625,-1073.4304
4,459240.4922,3629047.625,-1214.6112
5,459416.8047,3629977.25,-1512.9805
6,459285.1484,3630876.8438,-1304.2966
7,459198.0547,3631534.3125,-956.8446
8,459174.4336,3632079.2813,-738.5033
9,459175.7578,3632289.3125,-679.5595
10,459177.2891,3632370.0625,-664.0975
11,459179.1992,3632420.6563,-657.0477
12,459177.6836,3632482.0625,-642.1339
13,459179.75,3632589.875,-624.4009
14,459155.8594,3632824.4375,-622.1145
15,458958.6328,3633426.9063,-689.5195
16,458713.5703,3634092.0312,-725.6297
17,458475.6836,3634581.9375,-697.7506
18,458149.9922,3635181.625,-680.782
19,457823.4961,3635824.9375,-693.4412
20,457596.918,3636370.4375,-648.969
21,457194.1484,3636791.1875,-727.3148
22,456726.6133,3637249.1562,-780.3556
23,456380.4102,3637788.9375,-763.9704
24,456027.6641,3638381.3125,-778.4993
25,455592.7812,3639174.625,-764.2509
26,455194.2578,3639898.0937,-748.6432
27,455042.1602,3640197.3438,-748.2375
28,454888.7031,3640489.2813,-771.5581
29,454578.4609,3641056.0313,-867.5589
30,454168.7891,3641837.9375,-921.7018
31,453821.1992,3642499.1562,-964.3918
32,453652.6484,3642825.4063,-999.0859
33,453474.3398,3643101.4687,-1055.1797
34,453153.8242,3643574.3125,-1125.2144
35,452792.3203,3644096.3437,-1191.858
36,452390.3008,3644707.5938,-1236.1818
37,451976.8984,3645217.3125,-1294.2648
38,451673.5234,3645485.5938,-1330.8857
39,451544.2734,3645573.5,-1355.9501
