,Easting(m),Northing(m),Elevation(m)
0,231382.4688,3706467.1719,-3059.2791
1,230963.0625,3706884.2656,-2563.3455
2,230255.8437,3707390.5625,-2144.5061
3,229685.4375,3707815.4219,-1778.6763
4,229274.2187,3708218.3594,-1523.7365
5,228924.4375,3708612.0469,-1353.2201
6,228626.8125,3709079.9219,-1255.0096
7,228341.5625,3709625.2656,-1116.1674
8,228026.8438,3710256.5937,-939.4059
9,227813.4687,3711125.4687,-1030.4535
10,227462.1563,3712041.7656,-966.4681
11,227148.125,3713004.9844,-831.4586
12,226873.0,3713870.5,-701.4536
13,226669.75,3714687.5625,-752.681
14,226500.5,3715518.9687,-764.4913
15,226339.6562,3716293.125,-775.9056
16,226354.0,3717132.0,-530.2707
17,226110.75,3717882.2813,-660.7925
18,225747.1562,3718514.8281,-987.7062
19,225047.375,3718930.1562,-1111.7437
20,224241.9375,3719307.3594,-1350.7125
21,223612.5625,3719784.7188,-1313.7609
22,223221.9687,3720216.4062,-1124.927
23,222949.0312,3720526.7969,-958.752
24,222729.4063,3720756.375,-883.3005
25,222461.3125,3721021.8125,-904.6447
26,221932.9688,3721437.1406,-1110.5928
27,221405.7812,3722026.0,-1166.8435
28,221161.75,3722700.0312,-849.4003
29,220926.5937,3723383.3125,-634.4335
30,220709.25,3724236.2969,-867.3503
31,220551.9375,3725174.1094,-1004.4722
32,220581.3437,3726131.0625,-867.6678
33,220362.3438,3726917.0313,-567.9037
34,220008.3438,3727675.2031,-414.3259
35,219577.75,3728408.3281,-361.3273
36,219019.625,3729101.25,-378.9284
37,218444.125,3729745.5469,-455.905
38,217892.2812,3730306.5,-604.554
39,217400.9688,3730843.4531,-708.7603
40,216982.8125,3731469.0,-685.8407
41,216697.2188,3732300.0,-606.3342
42,216377.9375,3733266.2969,-497.9996
43,216054.6875,3734214.0625,-404.2138
44,215600.4375,3734902.75,-473.6529
45,215114.625,3735548.1094,-607.8563
46,214660.5625,3736231.5469,-678.9268
47,214120.8125,3736892.5937,-683.0702
48,213604.8438,3737585.3281,-634.6895
49,213083.1875,3738245.125,-620.7309
50,212489.9375,3738960.8437,-663.9071
51,211896.875,3739645.8594,-732.3841
52,211386.6875,3740161.25,-720.7515
53,210890.4375,3740680.2188,-692.2611
54,210323.4375,3741330.1875,-719.0668
55,209703.7188,3742017.0781,-769.1057
56,209135.0,3742662.2031,-802.0392
57,208627.875,3743275.7656,-813.066
58,208147.8125,3743877.8438,-805.7147
59,207731.6562,3744498.1094,-857.5902
60,207373.5313,3745122.2344,-864.8154
61,207072.3437,3745692.9687,-840.7707
62,206804.0938,3746206.5313,-815.8875
63,206535.4375,3746762.3437,-810.0577
64,206215.1563,3747492.0781,-816.7007
65,205886.75,3748262.1406,-811.9326
66,205599.6562,3748874.6719,-840.0075
67,205381.75,3749310.3125,-916.0265
