,Easting(m),Northing(m),Elevation(m)
0,447801.8594,3681735.9375,-128.2131
1,447343.7148,3682240.7344,-87.2596
2,446901.207,3682734.7969,-63.8055
3,446321.2773,3683478.1406,-94.6443
4,445724.7031,3684264.8906,-107.7342
5,445146.8633,3685058.3906,-104.1256
6,444675.1836,3685767.8281,-106.235
7,444219.9688,3686489.0156,-112.1029
8,443760.6406,3687207.5781,-117.7892
9,443288.3516,3687917.3438,-120.7848
10,442776.2969,3688599.8438,-113.9131
11,442201.2813,3689215.7031,-86.0974
12,441552.3516,3689795.3906,-107.2477
13,440867.5703,3690375.9844,-115.2098
14,440178.8828,3690949.3906,-120.8252
15,439485.2891,3691514.8906,-122.6352
16,438795.9219,3692087.5313,-121.615
17,438140.0234,3692696.4531,-107.0484
18,437523.9531,3693320.9688,-63.3344
19,436927.8203,3693958.9531,-94.0882
20,436346.5625,3694638.5781,-99.6978
21,435792.875,3695326.5312,-96.1225
22,435230.5703,3696027.2656,-100.8922
23,434647.4922,3696720.2344,-104.1094
24,434037.8437,3697388.4844,-113.1581
25,433391.75,3698022.3281,-138.2381
26,432707.7031,3698620.7656,-189.0958
27,432016.4219,3699194.6562,-251.6231
28,431328.3984,3699845.8281,-282.6796
29,430652.7891,3700501.2344,-280.0677
30,429966.625,3701150.875,-273.5352
31,429279.5234,3701800.1562,-260.3662
32,428604.6406,3702454.5937,-227.8551
33,428036.75,3703242.2344,-283.716
34,427501.7031,3704057.6563,-293.6358
35,426983.2422,3704883.0937,-284.024
36,426462.6875,3705707.2187,-277.0418
37,425933.4375,3706523.8906,-282.9432
38,425354.4141,3707304.3438,-251.6626
39,424770.0234,3708083.4062,-224.9609
40,424170.3437,3708850.8125,-220.1453
41,423548.6406,3709601.5156,-248.5457
42,422915.2188,3710326.6875,-312.2107
43,422161.8359,3710930.2031,-247.1234
44,421379.125,3711517.4531,-228.8775
45,420580.6328,3712079.5781,-244.8049
46,419783.3984,3712643.6406,-259.7519
47,419011.6016,3713242.4063,-243.1403
48,418255.0625,3713850.2969,-184.4965
49,417508.8672,3714422.5781,-55.8229
50,417310.0859,3714937.0781,-192.6732
