,Easting(m),Northing(m),Elevation(m)
0,455070.2734,3675550.0938,-133.684
1,454867.2187,3676158.9063,-90.0
2,454679.4258,3676462.4375,-90.0
3,454392.7969,3676695.3125,-90.0
4,453998.6836,3676999.875,-90.0
5,453479.1641,3677429.8125,-98.0
6,452923.8242,3677841.8438,-98.0
7,452511.7969,3678182.2187,-98.0
8,452099.7695,3678630.0781,-98.0
9,451705.6562,3679060.0156,-98.0
10,451204.0547,3679597.4375,-97.0
11,450809.9414,3679991.5625,-97.0
12,450415.8281,3680349.8437,-97.0
13,449914.2227,3680743.9531,-99.0
14,449484.2852,3681030.5781,-99.0
15,449179.7422,3681191.8125,-98.0
16,448893.1133,3681335.125,-98.0
17,448463.1719,3681550.0938,-98.0
18,448072.2031,3681635.6719,-96.0
19,447801.8594,3681735.9375,-128.2131
