,Easting(m),Northing(m),Elevation(m)
0,485642.9141,3588470.2188,1.0
1,484909.0,3591049.4062,1.0
2,484224.9375,3593350.3438,1.0
3,483540.8828,3595340.3438,1.0
4,483229.9375,3597703.4375,1.0
5,483343.5,3599940.4375,1.0
6,483246.9375,3600999.9375,1.0
7,483167.7578,3602554.0625,1.0
8,482241.7109,3604249.0625,9.655
9,481424.25,3605767.7812,13.7183
10,480657.5156,3607537.8438,16.2531
11,480804.6484,3609581.2187,3.0
12,480866.8281,3611322.4375,3.0
13,480867.9766,3612674.0313,3.0
14,480742.4531,3613872.125,1.0
15,480929.0156,3614991.5,1.0
16,481239.9531,3615986.5,1.0
17,481647.8281,3617439.9688,3.0
18,482203.5781,3618572.875,1.0
19,482472.9141,3619541.0313,1.0
20,482506.625,3620855.25,1.0
21,482483.7031,3622578.3437,50.0
