,Easting(m),Northing(m),Elevation(m)
0,417395.5625,3655041.4375,-1228.5165
1,417042.8906,3659583.625,-1673.9355
2,416956.5859,3663341.375,-926.5
3,417054.25,3666132.6875,-1020.3189
4,417129.2891,3668823.9063,-1172.9113
5,416922.4219,3672692.2187,-1298.125
6,415517.1094,3678401.4844,-1155.5625
7,415323.7422,3681923.6406,-900.625
8,413410.5859,3685086.6563,-1140.5183
9,411484.0703,3687786.3594,-961.1875
10,409419.7344,3690924.1563,-995.5625
11,406818.6719,3693731.6563,-751.9375
12,405332.3437,3695135.4063,-698.0
13,404134.7344,3696318.9063,-685.75
14,402899.8203,3698372.0,-598.4375
15,402096.0781,3700648.0781,-508.6707
16,401114.3125,3702646.0,-558.789
17,400132.5391,3704643.9375,-608.9073
18,399341.0937,3706150.6562,-597.8334
19,398579.0859,3707646.3438,-586.75
20,397707.75,3710089.7187,-475.6226
21,396865.8594,3712522.0781,-364.4856
22,396199.3594,3713994.0625,-441.0488
23,395532.8672,3715466.0313,-517.6121
24,394340.5156,3717202.3281,-332.3125
25,392996.2813,3719056.4844,-128.9375
26,392195.3906,3720655.1719,-109.6251
27,391520.3359,3722191.0156,-96.419
28,389813.1406,3724417.625,-47.0988
29,388958.1094,3725779.7969,29.8414
30,388103.0781,3727141.9687,106.7817
31,386527.6484,3728953.125,30.9221
32,384974.0625,3730917.625,-44.9375
33,383662.5156,3732689.375,-52.0
34,382211.5,3734642.2813,-59.3214
35,380924.3672,3736370.9219,-30.0625
36,379704.8594,3737544.4062,-18.375
37,378071.1719,3738625.8594,1.4375
38,376254.8594,3739348.25,21.5
39,374530.3437,3740375.9062,28.269
40,373292.25,3741413.1094,33.125
41,371363.25,3742453.8125,-192.2011
42,369591.6719,3743507.6719,-417.535
43,367097.3906,3745025.3437,-209.6875
44,364448.9844,3746686.2031,-65.875
45,362204.5781,3748212.4063,-72.8125
46,360229.5,3749738.6094,-131.9375
47,358613.5156,3751175.0312,-116.875
48,357042.4375,3752476.7813,-252.1875
49,355561.125,3753913.2187,-539.3125
50,352868.1094,3754969.3438,-594.5625
51,350489.0313,3755597.7812,-974.375
