,Easting(m),Northing(m),Elevation(m)
0,367720.6719,3690441.0312,-1063.9375
1,356827.3594,3696778.0625,-907.6875
2,346343.0156,3701823.1406,-1092.875
3,339354.5156,3705042.5625,-1200.75
4,333468.625,3708179.5,-567.0
5,328361.75,3711177.25,-477.0
6,325134.1094,3714651.1562,-437.4375
7,315954.7812,3722003.4375,-367.0
8,313577.5625,3725276.5469,-687.25
9,309824.2344,3728810.0781,-566.0
10,305849.7188,3732095.6875,-535.0
11,301428.1094,3736137.5,-470.0
12,295877.7031,3739240.3594,-629.9375
13,289414.1562,3742968.9688,-829.0
14,282661.2031,3750742.7031,-839.9375
15,275672.7031,3756239.2812,-787.4375
16,267323.25,3762412.1719,-680.3125
