,Easting(m),Northing(m),Elevation(m)
0,345229.3125,3670008.4688,-1000.0
1,344492.5938,3671876.4062,-1000.0
2,343756.8125,3673725.0938,-1000.0
3,342880.0625,3675328.25,-1000.0
4,341317.6875,3677223.7187,-1000.0
5,339634.5938,3679097.0312,-1000.0
6,338006.8125,3681152.5625,-1000.0
7,337173.4844,3683909.1562,-1000.0
8,336441.7187,3685799.0625,-1000.0
9,335506.4063,3687969.8437,-1000.0
10,334388.3438,3689743.5781,-1000.0
11,332928.3281,3692194.4844,-1000.0
12,332492.0469,3693491.5937,-1000.0
13,331849.0,3695987.7656,-1000.0
14,331184.7187,3698203.1875,-1000.0
15,330565.2656,3700656.3281,-1000.0
16,329663.4375,3702267.9844,-1000.0
17,328557.8438,3704244.2969,-1000.0
18,327425.5938,3706470.125,-1000.0
19,325966.8906,3708545.125,-1000.0
20,324588.3281,3710423.4219,-1000.0
21,322978.125,3712660.7969,-1000.0
22,322247.0,3714233.6406,-1000.0
23,321127.4062,3715866.0938,-1000.0
24,319981.5781,3717333.4844,-1000.0
25,319595.5781,3718216.7344,-1000.0
26,318482.7187,3719117.625,-1000.0
27,315806.5469,3721396.3594,-1000.0
28,312600.4375,3724072.5313,-1000.0
29,309102.8594,3726907.6875,-1000.0
30,304889.875,3730193.2812,-1000.0
