,Easting(m),Northing(m),Elevation(m)
0,486671.7031,3513027.9687,-1284.0
1,486077.3594,3514602.1875,-1284.0
2,485579.3984,3515999.6875,-1284.0
3,485001.1172,3517477.5313,-1284.0
4,484167.5234,3519237.25,-1284.0
5,483251.9141,3520650.8438,-1284.0
6,481998.9766,3522610.5625,-1284.0
7,480415.4844,3524827.0625,-1284.0
8,479082.2344,3526417.3438,-1284.0
9,477781.1016,3528184.2812,-1284.0
10,476438.2812,3529917.5313,-1284.0
11,474366.1094,3531748.75,-1284.0
12,472834.1758,3532972.0937,-1284.0
13,470566.5195,3534837.375,-1284.0
14,468365.8438,3536459.7812,-1284.0
15,466406.1211,3538066.0937,-1284.0
16,465394.1328,3538708.625,-1284.0
17,464044.8125,3539592.125,-1284.0
18,463114.5469,3540380.1875,-1284.0
19,462311.3633,3541026.2188,-1275.6875
20,461511.8438,3541453.5,-1153.0
21,460671.7187,3541887.5,-999.0
22,459513.0625,3542633.5,-999.0
23,458423.6367,3543436.4062,-1062.3125
24,457934.7422,3544152.2813,-1056.1875
25,457401.5,3544623.5,-1056.0
26,456481.7812,3545135.5,-1043.0
27,455640.5313,3545454.0,-1043.0
28,454110.8945,3546265.0,-1084.3125
29,453241.9375,3546870.0,-1085.0
30,452362.0313,3547343.25,-1162.0
31,451247.2812,3548473.75,-1307.0
32,450529.7187,3549098.75,-1307.0
33,449789.0156,3549689.25,-1486.25
34,448853.625,3550390.25,-1343.0
35,447818.875,3551481.25,-1343.0
36,447257.2422,3552570.2188,-1352.0
37,446523.9023,3553128.9688,-1332.5
38,445721.8047,3553587.9375,-1252.0
39,444482.1094,3553954.5937,-1279.0
40,443032.8906,3554233.9687,-1323.1875
41,442020.1797,3554740.3125,-1417.375
42,440780.4844,3555753.0313,-1362.0
43,439924.9219,3556591.125,-1362.0
44,439231.875,3557363.75,-1362.0
45,438440.7812,3558214.9688,-1451.0
46,437515.375,3559122.9063,-1488.0
47,436712.1953,3559961.0,-1815.0
48,435961.3906,3561078.4688,-1669.0
49,435437.5781,3562789.5938,-1714.0
50,434764.5547,3563511.3438,-1769.0
51,432826.4453,3564820.875,-1769.0
52,431481.9844,3565763.75,-1824.0
53,430574.0391,3566566.9375,-1824.0
54,429107.3594,3567789.1562,-1824.0
55,427343.8516,3569116.1562,-1824.0
56,426086.6953,3570163.7813,-1824.0
57,423677.1484,3572363.8125,-1857.25
58,421005.6875,3574738.4375,-1859.9375
59,418940.3281,3576689.7187,-1861.0
60,417030.4766,3578912.6563,-1869.25
61,416341.6797,3579977.1875,-1903.4375
62,416091.2031,3581699.1875,-1910.0
63,415026.6953,3583202.0,-1910.0
64,413649.0937,3584830.0937,-1910.0
65,412177.5625,3586301.625,-1881.0
66,410893.8906,3587334.8125,-1881.0
