,Easting(m),Northing(m),Elevation(m)
0,428028.5469,3574815.1875,-1896.125
1,427277.125,3575535.3125,-1896.75
2,426838.7969,3576255.4063,-1898.25
3,426181.3125,3576818.9688,-1909.4375
4,425836.9063,3577476.4688,-1894.875
5,425085.4922,3578603.5938,-1883.3125
6,424586.5781,3579079.8438,-1849.6316
7,424397.4688,3579260.4375,-1843.5931
8,424396.6875,3579261.0938,-1836.8125
9,424396.2031,3579261.6563,-1843.5527
10,424027.9688,3579688.8125,-1822.4742
11,423613.9609,3580169.0625,-1806.375
12,423589.375,3580175.6875,-1800.0735
13,423535.0391,3580190.3125,-1802.9407
14,422799.9297,3580388.2188,-1597.75
15,421641.4844,3580951.7813,-1644.25
16,420858.7578,3581765.8125,-1627.5
17,419637.7031,3582799.0313,-1491.625
18,418166.1719,3584051.375,-1662.3125
19,417425.1016,3584792.4688,-1847.1823
20,417226.9063,3584990.6563,-1896.625
21,416131.0859,3586117.7813,-1858.0
22,415473.5938,3586900.5,-1895.375
23,414784.7969,3587996.3438,-1898.0
24,414471.7031,3588685.125,-1899.0
25,413864.5234,3589494.6875,-1851.0
26,412831.3203,3590809.6875,-1858.0
27,412048.5938,3591842.875,-1870.25
28,411307.4766,3592685.0625,-1856.1281
29,410670.9922,3593408.3438,-1844.0
30,409763.0234,3595067.7188,-1776.0
31,409042.9219,3595756.5313,-1827.0
32,408721.0938,3596423.1563,-1873.99
33,408604.5938,3596664.4688,-1891.0
34,408072.3359,3597415.9063,-1886.0
35,407859.6641,3597669.4688,-1855.9719
36,407289.5625,3598349.1875,-1775.4775
37,407258.2969,3598386.4688,-1771.0625
38,407221.5547,3598421.4688,-1755.8022
39,406834.0078,3598793.3125,-1651.2596
40,406590.5547,3599029.4688,-1638.0295
41,406568.625,3599063.0313,-1634.512
42,406235.4297,3599573.1875,-1581.0747
43,406062.4922,3599838.0625,-1561.1649
44,406043.8906,3599872.9375,-1557.9524
45,405818.0781,3600296.3438,-1518.9471
46,405771.5234,3600348.375,-1516.8176
47,405499.6484,3600652.25,-1504.3817
48,405298.8828,3600876.625,-1487.2186
49,405221.4219,3600937.5625,-1486.6614
50,404993.3203,3601116.9688,-1485.0211
51,404825.2813,3601249.1563,-1483.7876
52,404563.9297,3601455.1563,-1455.7881
53,404296.5703,3601665.6875,-1439.5989
54,404201.2734,3601731.8125,-1436.4081
55,403272.8359,3602375.9063,-1405.319
56,403209.7734,3602419.375,-1412.3521
