,Easting(m),Northing(m),Elevation(m)
0,462810.9414,3583174.6875,-1106.0
1,461479.0391,3584617.5937,-1132.9375
2,459851.1562,3586985.4375,-1162.0
3,459555.1758,3588613.3125,-1186.125
4,458308.7188,3590727.5,-994.0
5,456125.7812,3594506.5,-1148.0
6,451707.8437,3602114.25,-1230.0
7,450304.625,3604633.5,-1224.0
8,448286.957,3607760.75,-1190.0
9,446562.25,3610931.0,-1153.0
10,445364.168,3612829.375,-1145.0
11,444379.0625,3614507.75,-1144.0
12,443807.5313,3615667.0,-1135.0
13,443339.5625,3616321.5,-1128.0
14,442768.8437,3618086.75,-1111.0
15,442145.3984,3619599.9063,-1111.0
16,440898.625,3621967.75,-1094.0
17,439777.5703,3623669.5938,-1084.0
18,438714.4063,3624787.0,-1064.0
19,438038.6875,3625945.75,-1046.0
20,436324.8437,3629878.0,-1039.0
21,435129.2812,3631893.25,-1068.0
22,434557.0312,3632496.75,-1062.0
23,433829.1875,3633605.0,-1070.0
24,432529.5,3635619.75,-1062.0
25,431386.25,3637786.5,-1049.0
26,429879.4063,3640709.5,-1038.0
27,428760.625,3642890.5,-1020.0
28,428055.625,3644156.75,-982.0
29,426526.6484,3645279.4688,-970.0
30,425194.7422,3646574.375,-969.0625
31,422662.625,3648659.75,-905.0
32,421479.125,3650059.0,-884.0
33,420681.0703,3650940.0625,-904.0
34,419460.1563,3653640.875,-924.0
35,418163.9063,3654907.75,-958.0
36,416574.3672,3656674.6562,-962.6875
37,414095.5469,3659227.4688,-930.0
38,411912.7031,3662187.25,-914.0
39,410506.8047,3664074.0937,-756.0
40,408657.25,3666236.0,-751.0
41,406865.8125,3668066.0313,-833.0
