,Easting(m),Northing(m),Elevation(m)
0,406882.1172,3668061.9062,-1719.728
1,403988.625,3669508.9687,-1660.2908
2,401353.5234,3670542.6563,-1600.1772
3,398460.0391,3671886.375,-1540.2892
4,396445.0078,3672868.4062,-1482.6559
5,392569.7266,3674418.8125,-1420.8857
6,390141.3281,3674832.4375,-1357.531
7,387247.8438,3676124.5,-1297.355
8,383165.8672,3678191.6562,-1235.4376
9,379135.6484,3679432.0938,-1155.7012
10,375157.0,3680930.8281,-1097.317
11,371391.5469,3681869.8125,-1040.75
12,366755.25,3683269.0469,-973.5
13,362859.4375,3684186.875,-907.363
14,357382.2812,3686409.0469,-840.0345
15,350922.5,3689818.875,-961.9792
16,346873.5,3692499.8594,-1085.0
17,338636.125,3698505.5,-1202.0
18,332985.2187,3707923.5,-567.0
