,Easting(m),Northing(m),Elevation(m)
0,442669.2266,3679331.4375,-913.3301
1,442457.2734,3679380.25,-825.7451
2,442282.4687,3679564.3438,-838.1892
3,442089.4844,3679911.3594,-742.5013
4,441875.1562,3680187.0625,-726.3068
5,441635.8359,3680347.1563,-755.4296
6,441251.1016,3680398.1719,-808.9504
7,440916.5156,3680453.0937,-777.4904
8,440630.3906,3680569.1563,-768.642
9,440365.6406,3680693.5156,-770.1475
10,440176.3047,3680879.5313,-773.9526
11,440107.1172,3681047.6875,-755.4939
12,439988.5234,3681316.6562,-734.1496
13,439907.8828,3681633.9219,-761.5637
14,439765.7344,3681892.7812,-775.5744
15,439614.4688,3682153.2187,-741.8432
16,439388.4063,3682457.5313,-689.5411
17,439214.5625,3682732.2969,-738.2293
18,439122.0156,3683019.3437,-829.1074
19,439013.1562,3683249.1094,-801.56
20,438871.8359,3683518.9219,-800.2899
21,438648.75,3683823.5781,-995.0333
22,438471.6719,3684006.8594,-1215.9425
23,438457.5078,3684134.875,-1357.5491
