,Easting(m),Northing(m),Elevation(m)
0,375952.9375,3704923.9688,-906.0
1,373810.5625,3706323.0625,-899.5
2,371362.75,3707870.5,-893.0
3,369788.1563,3709471.0312,-893.0
4,368039.2812,3711351.0781,-891.75
5,365984.3594,3713799.5,-889.875
6,363730.2813,3716306.25,-888.0
7,362884.1562,3718659.2031,-888.0
8,361487.4062,3721093.3125,-888.75
9,359762.8594,3723573.5625,-886.0
10,358240.25,3725411.75,-850.0
11,357371.1563,3728490.0312,-834.25
12,355246.9531,3731144.3437,-799.0
13,353321.0625,3733468.7187,-769.0
14,350797.4531,3736722.8281,-838.875
15,348063.6563,3738802.0,-912.0
