,Easting(m),Northing(m),Elevation(m)
0,406615.4766,3669216.5313,-906.0
1,405516.9063,3671826.8125,-906.0
2,404014.6016,3674462.9062,-906.0
3,402392.2031,3677304.5937,-906.0
4,400570.9922,3680078.2969,-906.0
5,398325.6953,3682995.125,-906.0
6,397215.25,3684920.3281,-906.0
7,396873.1328,3686805.0,-906.0
8,394199.6875,3689957.5938,-906.0
9,391781.8516,3692636.6406,-906.0
10,389943.8437,3695280.7188,-906.0
11,387679.4844,3697842.8125,-906.0
12,385862.25,3698964.8594,-906.0
13,382663.4219,3700663.875,-906.0
14,380415.7266,3701980.1094,-906.0
15,378363.9687,3703559.5156,-906.0
16,376001.3438,3704938.1562,-906.0
