,Easting(m),Northing(m),Elevation(m)
0,172755.5938,3822736.7344,-102.9854
1,172536.5938,3822780.2266,-65.7886
2,172454.4063,3822797.6797,-66.1456
3,172090.5313,3822954.5703,-67.1525
4,172064.5313,3822970.3828,-67.1914
5,171888.5,3823088.7969,-67.3721
6,171733.3438,3823193.1719,-67.455
7,171537.375,3823324.9531,-67.173
8,171536.7188,3823326.0625,-67.167
9,171428.9063,3823487.6875,-66.3453
10,170885.0625,3823839.5625,-65.9736
11,170789.3125,3823893.2422,-65.9756
12,170390.1875,3824124.2109,-65.9248
13,170164.6563,3824283.0781,-142.1297
14,169875.3125,3824486.8672,-64.6105
15,169723.25,3824600.5703,-63.9115
16,169519.5938,3824752.9453,-63.5764
17,169474.3125,3824779.6094,-63.5772
18,169440.9063,3824802.5156,-63.5441
19,169205.6563,3824950.5391,-63.449
20,169085.0938,3825026.3984,-63.3401
21,168690.0,3825288.2813,-159.7526
22,168242.4063,3825532.5781,-137.2171
23,167511.4375,3826200.3594,-155.0995
24,166780.4688,3826868.1406,-153.0496
25,166049.4688,3827535.9375,-155.4992
26,165318.5,3828203.7188,-161.0805
27,164587.5313,3828871.5,-211.5297
28,163856.5625,3829539.2813,-142.9678
29,163501.7813,3830224.5625,-225.5161
30,163147.0,3830909.8281,-144.9693
31,162792.2188,3831595.0938,-90.0153
32,162437.4375,3832280.375,-100.9514
33,162070.375,3832742.9844,-43.5427
34,162016.0313,3832814.1875,-43.9267
35,162011.4063,3832819.9609,-43.9599
36,162008.0625,3832824.0234,-43.9844
37,161955.7188,3832887.4922,-44.4329
38,161589.7813,3833348.6563,-106.1572
39,161259.6875,3833967.0313,-89.0724
40,161241.4063,3834078.4453,-50.8334
41,161186.8438,3834601.1563,-51.4861
42,161180.2813,3834838.7344,-51.6353
43,161147.8438,3834960.2734,-51.9469
44,161116.875,3835076.25,-52.1029
45,160986.0313,3835635.2969,-52.7168
46,160955.625,3835820.5625,-123.1066
47,160998.7813,3836397.1406,-347.0295
48,161119.125,3836841.5078,-53.0228
49,161160.7188,3836940.7734,-52.8605
50,161194.1875,3837015.0156,-52.7238
51,161264.5625,3837313.1563,-52.5877
52,161346.1563,3837659.3281,-52.0073
53,161347.5938,3837677.1953,-51.9929
