,Easting(m),Northing(m),Elevation(m)
0,530905.7656,3678197.5312,912.1765
1,530530.8594,3678713.9062,886.1921
2,529968.7187,3679355.5625,858.9324
3,529402.375,3679970.625,853.0
4,528822.3594,3680568.2188,853.0
5,527971.4531,3681255.8438,853.0
6,527394.1406,3681732.4688,852.2614
7,526540.875,3682457.9375,849.0377
8,525874.4375,3683171.9375,850.4585
9,525435.4609,3683545.5937,851.201
10,524753.8203,3684017.5313,865.473
11,524225.7813,3684302.6563,932.2087
12,523384.2188,3684704.0,947.7344
13,522473.3672,3685142.4375,965.9382
14,521499.4375,3685611.25,952.7373
15,521015.9062,3685996.9375,991.2925
16,520457.9062,3686442.0,1040.0306
17,520043.9219,3686934.5938,1141.2926
18,519492.625,3687514.0937,1196.8198
19,518994.9375,3687951.75,1216.6586
20,518679.0781,3688082.1875,1262.7184
21,518234.6172,3688265.7188,1316.2378
