,Easting(m),Northing(m),Elevation(m)
0,563438.25,3655671.0,1425.3765
1,562750.1875,3655960.25,1350.4512
2,561559.75,3656460.75,1239.1216
3,560369.3125,3656961.25,1127.7919
4,559722.0,3657188.5,1097.0
5,558595.375,3657583.875,1021.8123
6,557501.1563,3658046.7812,946.625
7,556736.9531,3658495.6875,911.25
8,555962.2187,3659002.4375,852.3125
9,555284.5469,3659491.1563,793.375
10,555015.5469,3659986.3437,788.75
11,554463.7813,3660347.5,788.75
12,553691.3281,3660839.0625,788.75
13,552868.7187,3661340.6562,788.75
14,551812.6562,3662006.1875,769.125
15,550721.8437,3662313.7813,749.625
16,549538.125,3662684.9063,805.375
17,548476.0,3663009.5,861.375
18,547374.1094,3663708.1875,816.25
19,546030.9531,3664475.0937,771.0
20,545166.2031,3665548.5,785.625
21,544226.9375,3666338.625,797.375
22,543287.6875,3667128.75,809.125
23,542423.0,3667725.0312,825.625
24,541558.3594,3668559.8125,845.375
25,540693.7188,3669394.5625,865.125
26,540395.5625,3670080.3125,863.375
27,539843.9766,3670810.7812,863.375
28,539292.3906,3671541.25,863.375
29,539333.3672,3671882.25,1047.6857
30,538581.3125,3672584.3437,1085.3306
31,537641.25,3673437.4375,1106.2922
32,536701.1797,3674290.5625,1127.2538
33,535712.9766,3674847.1875,1152.0143
34,534612.2969,3675749.6875,1075.3612
35,533709.2891,3676527.4375,994.6767
36,532832.2969,3677054.3125,961.9558
37,531777.3203,3677703.2187,916.9382
38,530936.6563,3678180.0,893.8293
39,530096.0,3678656.8125,870.7206
40,529356.2188,3679108.3437,861.8603
41,528616.4375,3679559.875,853.0
42,527738.0625,3680061.8437,853.0
43,526859.6094,3680513.5938,852.9889
44,525907.2031,3681165.8438,841.8148
45,524924.0156,3681807.5625,838.0558
46,523949.1328,3682646.9687,842.8209
47,522965.8594,3683439.3437,853.0
48,522401.1094,3683941.375,866.9633
49,521836.3594,3684443.375,880.9266
50,520731.3906,3685322.3125,924.6627
51,520128.6641,3685887.3125,992.7091
52,519525.9375,3686452.2813,1060.7555
53,518521.9062,3687355.875,1193.9084
54,518016.7188,3687759.1562,1272.6699
55,517618.0078,3688033.7187,1286.47
56,517266.6953,3688309.75,1288.8505
57,516865.1563,3688610.9063,1289.8409
58,516488.7188,3688937.1563,1303.8254
59,516087.1719,3689213.2187,1328.9924
60,515560.1562,3689639.875,1414.0012
61,515259.0,3689790.4375,1454.5247
62,514957.8438,3689991.2188,1475.2686
63,514054.3906,3690518.2187,1593.7535
64,513125.7656,3691120.5937,1647.5341
65,512147.0781,3691873.4062,1437.2415
66,511532.2812,3692350.1875,1351.0559
67,510917.4922,3692826.9687,1264.8705
68,510101.9687,3693391.5625,1193.8879
69,509286.4531,3693956.125,1122.9055
70,508546.2656,3694420.3125,1087.0607
71,507806.0781,3694884.4687,1051.2158
72,506777.4531,3695712.4062,1149.5195
