,Easting(m),Northing(m),Elevation(m)
0,519657.4219,3682815.0313,1219.3417
1,518882.0469,3683621.6562,1200.176
2,518042.8438,3684491.75,1303.4131
3,517176.0469,3685234.1875,1386.6437
4,516181.6719,3686221.75,1480.2916
5,515132.9844,3687381.9375,1386.9001
6,514213.9375,3688372.5625,1414.5991
7,513234.5937,3689253.0313,1545.4409
8,512228.8437,3690134.1563,1638.8059
9,511094.8125,3691007.9688,1585.3479
10,509756.6094,3692029.3437,1482.7877
11,508691.0625,3692792.75,1311.4561
12,507457.8437,3693642.6875,1144.0848
13,506451.625,3694347.7187,1248.7917
14,506013.3672,3694736.75,1234.8385
15,505421.2422,3695253.6875,1204.8691
16,504535.5,3695957.0,1000.6999
