,Easting(m),Northing(m),Elevation(m)
0,452487.2422,3779389.125,524.5
1,451953.4687,3779049.9063,520.625
2,451419.6953,3778710.6875,516.75
3,450762.2344,3778272.2656,500.375
4,449940.375,3777724.2187,479.875
5,449517.9766,3777509.5937,473.75
6,448942.0664,3777176.75,458.625
7,448347.9883,3776833.3906,442.875
8,447567.1484,3776382.0937,422.375
9,446733.1367,3775913.8125,412.5
10,445839.5859,3775413.9062,403.375
11,445104.2852,3775002.5156,395.875
12,444437.5781,3774589.4375,382.0
13,443629.4141,3774094.5937,372.5
14,442796.5156,3773623.9687,371.0
15,442246.375,3773404.4531,390.625
