,Easting(m),Northing(m),Elevation(m)
0,609528.2656,3624271.25,46.4215
1,609501.9219,3623949.0,53.3011
2,609432.0469,3623712.0313,51.8195
3,609258.875,3623459.8438,48.0689
4,608941.1562,3623167.4688,45.1186
5,608626.7188,3622838.0625,50.1646
6,608438.0,3622620.7813,52.729
7,608350.0625,3622270.8125,49.2783
8,608252.8437,3621945.7187,52.9037
9,608110.9844,3621485.4375,60.0575
10,608140.8438,3621140.4063,57.7485
11,608143.4844,3620859.0,53.0982
12,608114.4844,3620632.6875,49.9708
13,608202.0625,3620282.3125,42.5353
14,608263.4375,3620079.3125,36.689
15,608258.7812,3619870.2812,35.2688
16,608108.5312,3619678.5625,39.5
17,607883.8906,3619422.0,47.4011
18,607737.6719,3619252.6875,52.2671
19,607567.7188,3619045.0625,57.504
20,607373.4531,3618758.9063,60.5618
