,Easting(m),Northing(m),Elevation(m)
0,604111.0625,3619431.2187,82.6995
1,604018.5781,3619291.375,87.5314
2,603873.5,3619070.4062,90.5176
3,603680.5625,3618853.4062,95.8391
4,603535.9687,3618678.3438,103.1994
5,603466.0,3618321.4688,113.1105
6,603447.0937,3618257.5937,115.0311
7,603418.0313,3618105.6875,118.8675
8,603377.9375,3617950.3125,122.2403
9,603343.3594,3617818.1562,125.201
10,603320.0937,3617695.1875,128.7178
11,603359.1875,3617582.0938,131.0042
12,603368.9375,3617522.5313,132.1948
13,603370.4062,3617438.75,133.6998
14,603296.875,3617268.7812,136.7333
15,603266.5313,3617227.1563,135.4642
