,Easting(m),Northing(m),Elevation(m)
0,608974.9531,3626120.1563,29.171
1,608751.6406,3625949.625,31.3452
2,608382.9063,3625728.8125,35.3184
3,608078.7344,3625494.25,40.9034
4,607733.375,3624919.9062,50.0899
5,607474.9531,3624518.6563,58.3483
6,607171.6719,3624143.6563,67.0416
7,607065.9375,3623789.5625,73.0815
8,606686.5937,3623328.3438,78.0146
9,606594.1094,3622972.9375,78.8365
10,606453.3125,3622745.8125,79.7032
11,606181.9063,3622265.3125,82.4201
12,605999.7187,3621802.4688,83.0425
13,605821.2187,3621429.4375,83.1371
14,605642.0625,3620929.0625,68.5835
15,605549.4375,3620437.2188,64.5416
16,605361.1094,3619640.5,70.3201
17,605160.875,3619248.0938,81.5537
18,605097.875,3618702.375,103.4626
19,604986.9688,3618223.75,119.729
20,604921.9062,3617864.25,122.909
21,604678.375,3617208.7812,127.6195
22,604431.6563,3616914.625,129.3677
23,604416.4063,3616642.0625,127.4017
24,604461.8438,3616380.9062,125.5141
25,604558.9063,3616128.5313,123.8432
