,Easting(m),Northing(m),Elevation(m)
0,594298.5938,3614961.75,374.0
1,594356.8906,3614700.9063,402.0625
2,594364.8438,3614511.25,405.0625
3,594396.0781,3614313.1563,405.6577
4,594383.125,3614072.4375,397.0012
5,594360.125,3613946.0938,386.4745
6,594468.3594,3613690.75,377.375
7,594536.7813,3613501.1563,379.4375
8,594573.0938,3613328.0313,377.375
9,594689.3438,3613078.2813,391.0
10,594818.625,3612839.625,391.2866
11,594946.5469,3612589.0625,402.9375
12,594951.0625,3612359.0938,391.0
13,595060.9375,3612201.0625,377.125
14,595120.6563,3611968.9688,388.125
15,595144.1875,3611791.5938,372.5
16,595265.7813,3611603.8438,367.0625
17,595364.2188,3611458.4688,365.6429
18,595507.25,3611317.0625,365.875
19,595606.9063,3611086.3125,363.9375
20,595758.375,3610847.1875,361.8125
21,595914.7188,3610619.5938,360.375
22,596038.125,3610368.7813,356.1875
23,596105.4063,3610098.1563,354.875
24,596217.6875,3609814.2813,344.75
25,596333.9375,3609635.25,346.3125
26,596422.8594,3609383.2188,338.375
