,Easting(m),Northing(m),Elevation(m)
0,439067.8125,3756545.4219,179.7607
1,438696.4766,3756916.7969,181.3779
2,438202.9062,3757486.0312,182.0
3,437829.2422,3758278.6094,182.0
4,437185.9688,3758848.0469,182.0
5,436913.4219,3759442.2344,182.0
6,436394.875,3760358.6406,184.8926
7,436145.3672,3760779.0156,188.3379
8,435552.0625,3761695.4219,198.252
9,434958.0703,3762611.7188,207.0781
10,434413.2656,3763354.4844,215.6328
11,433571.375,3764344.875,226.9863
12,432679.6562,3764963.1406,231.0615
13,432036.0156,3765483.2031,238.1221
14,430872.3125,3766225.4688,241.8535
