,Easting(m),Northing(m),Elevation(m)
0,446012.2695,3743630.1094,394.8281
1,445221.4531,3744413.8281,352.6582
2,444820.8828,3744968.375,325.5381
3,444453.5,3745936.7813,291.0938
4,444200.8438,3746614.0156,284.707
5,443759.1719,3747146.1406,263.7764
6,443309.9766,3747839.9531,231.4512
7,442739.0938,3748450.0313,220.2217
8,442205.8281,3748952.1094,183.1133
9,441354.0547,3750135.9219,182.0
10,440772.0625,3750975.4531,182.0
11,440298.0625,3751718.0625,182.0
12,439746.7812,3752387.3906,187.8096
13,439096.9375,3753273.3594,212.3965
14,438514.0781,3753728.7969,225.0449
15,437987.2969,3754317.5625,219.2432
16,437458.3359,3754986.4219,220.9922
17,436830.3516,3755852.9375,217.4424
18,436544.2031,3756391.9844,217.9121
19,436195.3359,3756966.4375,217.4619
20,435753.375,3757726.2656,215.4766
21,435552.125,3758130.0,204.8975
22,435228.4375,3758522.9375,194.9736
23,434883.8906,3759318.5312,192.8389
