,Easting(m),Northing(m),Elevation(m)
0,597098.1406,3625305.1563,91.3559
1,594761.6719,3626060.0,120.3585
2,593072.2188,3626491.375,164.9926
3,591562.5,3627461.9062,216.0114
4,589832.8125,3627864.25,266.159
5,587896.0313,3629115.4062,345.0599
6,586314.4219,3630014.0312,302.5895
7,584306.625,3631073.5,380.9434
8,581282.0156,3632062.9375,391.1564
9,579291.875,3632954.4688,381.0
10,578211.8906,3632861.875,347.0625
11,576912.375,3633590.5,285.0265
12,574236.6562,3635082.375,232.7664
13,573230.1719,3636771.8437,273.0
14,572115.8438,3638892.6562,412.0
15,570426.4062,3640474.25,436.8125
16,570174.7812,3642055.875,425.0
17,568485.3438,3643637.4687,363.0
18,567874.25,3644859.625,363.0
19,566005.0781,3645614.5,375.5625
20,564962.6563,3646872.5937,424.0
21,564197.75,3647895.75,421.0
22,562248.5312,3649073.1875,1015.0771
23,559397.625,3651375.4063,1143.8564
