,Easting(m),Northing(m),Elevation(m)
0,474556.9883,3720433.4375,420.3848
1,473604.6836,3721295.8125,417.792
2,472827.8516,3721929.7813,414.2373
3,472122.3437,3722520.9063,413.3125
4,471364.3594,3723145.375,412.7539
5,470821.5039,3723601.0937,410.5059
6,470101.3633,3724158.8437,415.748
7,469386.3594,3724678.1562,416.8408
8,468624.0156,3725221.4375,412.7773
9,467907.0469,3725751.7812,412.3701
10,467149.4531,3726290.2812,412.3154
11,466423.3789,3726893.3125,420.3896
12,465665.5664,3727512.9375,422.3096
13,465007.8281,3727927.625,423.9668
14,464254.832,3728113.6719,442.9775
15,463600.3203,3728808.2188,486.6514
16,462961.0078,3729403.9531,463.6621
17,462126.9023,3729741.875,488.5078
18,461086.5547,3730236.625,522.1533
19,459822.375,3731089.6875,491.0195
20,459455.0039,3731547.3125,478.042
21,458972.4375,3731844.9844,472.2227
22,458157.3672,3732412.1875,479.8555
23,457399.4922,3733089.0312,425.6396
24,456837.1875,3733798.3437,421.7822
25,456384.3906,3734403.7188,386.5439
26,455670.5859,3735151.1875,355.9639
27,455165.2656,3735809.0,362.3418
28,454614.8008,3736584.0781,327.8672
29,454171.457,3737046.4375,364.5313
30,453315.5,3738072.5,344.6953
31,452439.3438,3738765.6719,384.4922
32,451414.1758,3739523.3906,419.54
33,450233.0625,3740138.2812,399.4463
34,449308.5703,3741019.9687,438.8525
35,448241.625,3741705.8906,476.8711
36,447296.5781,3742556.1875,514.875
37,446580.9375,3743170.6406,552.875
38,445989.7891,3743629.5,590.875
