,Easting(m),Northing(m),Elevation(m)
0,462782.1875,3726457.0,475.5992
1,462454.9688,3727003.25,562.0237
2,462011.0937,3727427.75,580.0862
3,461399.125,3727904.5,659.374
4,460697.6562,3728737.4375,733.2924
5,460147.4688,3729292.25,793.1295
6,459698.8125,3729990.5,677.1687
7,459277.0937,3730403.75,561.6091
8,458763.8125,3730929.25,605.5108
9,457950.5312,3731790.1875,517.1887
10,457452.8125,3732486.0,489.1449
11,456758.582,3733263.3906,429.5793
12,456024.0195,3733461.1875,452.5076
13,455508.8438,3733903.75,432.6912
14,454893.9141,3734337.0156,422.777
15,454032.4688,3735215.0,396.3957
16,453538.8437,3735765.0937,410.7096
