,Easting(m),Northing(m),Elevation(m)
0,694524.1563,3543326.4688,4.0
1,693421.5937,3544623.5313,5.0
2,692319.0937,3545531.5,7.0
3,689595.25,3547995.9375,10.0
4,687844.125,3549487.5625,10.0
5,685423.3125,3551657.8125,8.0
6,683563.8438,3553378.7813,7.0
7,681526.6875,3554928.1875,9.0
8,678959.1875,3557399.7812,10.0
9,676063.75,3559330.1875,9.0
10,672992.625,3561680.0938,5.0
11,669036.5937,3564403.9375,7.0
12,666896.3594,3566349.5625,11.0
13,664623.3438,3568340.75,11.0
14,662291.7812,3570175.9375,10.0
15,660346.1406,3571408.1563,10.0
16,657751.9844,3572510.6563,31.0
