,Easting(m),Northing(m),Elevation(m)
0,693327.0937,3541556.1875,0.0
1,690976.625,3541877.3438,0.0
2,690131.1875,3542341.6562,0.0
3,688168.9375,3543908.5,0.0
4,686914.375,3545581.1875,0.0
5,684405.25,3547713.7812,0.0
6,682231.0312,3549322.0,0.0
7,680044.375,3551017.4688,0.0
8,675683.375,3555020.0,0.0
9,674241.875,3556449.1563,0.0
10,671332.8437,3558994.5937,0.0
11,667738.0625,3561830.2813,0.0
12,666065.375,3563383.5,0.0
13,662839.3906,3565952.2813,0.0
14,660226.3125,3568447.9375,0.0
15,658767.6094,3569710.6875,0.0
16,657737.5625,3570375.8125,0.0
17,657007.8906,3571407.0938,0.0
