,Easting(m),Northing(m),Elevation(m)
0,505470.3672,3687132.4062,816.0524
1,505080.7188,3687115.0625,724.607
2,504708.4063,3687158.4063,647.6766
3,504357.9844,3687240.6562,609.7305
4,503934.25,3687504.5938,599.555
5,503683.8359,3687751.0625,627.7557
6,503523.2656,3687828.9375,606.6985
7,502406.2891,3689083.25,576.7545
8,501939.1172,3689415.9375,694.9037
9,500595.4297,3690140.375,687.8269
10,499915.7656,3690789.4688,506.3209
11,499191.1484,3691936.7813,543.0767
12,498692.9844,3692480.25,463.3704
13,498058.9531,3693370.9375,548.0292
14,497485.4531,3694035.0937,551.9967
