,Easting(m),Northing(m),Elevation(m)
0,526412.4062,3674407.3438,1284.375
1,525583.6875,3675326.2187,1236.625
2,525002.3516,3675890.0313,1189.007
3,524430.5391,3676479.4687,1141.25
4,523655.6875,3677200.3125,1093.75
5,522916.8125,3677777.0625,1046.0
6,522159.8516,3677939.4063,998.5
7,521428.5234,3678123.7812,950.7325
8,520713.7578,3678570.5313,903.0776
9,519998.9922,3679017.2813,855.4228
10,519266.3594,3679446.125,793.4495
11,518337.1562,3680017.9375,795.9529
12,517836.8281,3680321.7187,795.1472
13,517242.1563,3680723.0,792.3073
14,516382.3125,3681280.125,759.5327
15,515513.8281,3681787.0,753.4682
16,514673.9844,3682197.9688,977.8777
17,513834.1328,3682573.2188,832.3134
18,513030.0156,3682912.75,901.4166
19,512172.2969,3683252.25,864.4601
20,511207.3672,3683716.8438,919.7
21,510528.3359,3684163.5937,977.7064
22,509813.5703,3684771.125,999.9503
23,508777.1562,3685450.1563,884.6554
24,507971.4453,3685973.9688,916.8119
25,506949.4922,3686579.5625,946.3272
26,506186.1328,3686754.625,872.2663
27,505511.1953,3687147.3125,829.306
