,Easting(m),Northing(m),Elevation(m)
0,560005.3281,3645722.5625,520.0986
1,559710.0312,3646069.2187,503.4099
2,559273.5,3646441.5625,492.0446
3,558824.1406,3646903.75,482.8022
4,558207.875,3647327.4375,487.5962
5,557630.125,3647763.9688,498.0684
6,557309.1406,3648072.125,512.933
7,556641.5,3648251.8437,524.4991
8,555935.375,3648405.9375,534.0442
9,554921.0937,3648521.4688,538.7562
10,554214.9375,3648611.3437,634.9237
11,553547.3125,3648765.4063,631.3077
12,552998.0312,3649318.625,631.1362
13,552394.5938,3650422.7813,681.056
14,551765.4688,3651154.5938,706.316
15,550853.9063,3652220.25,725.6353
16,550022.4531,3652714.9375,749.7448
17,548892.625,3653318.375,801.0724
18,548263.5,3653934.6562,856.5955
19,547493.1719,3654319.8125,913.4254
20,546684.3125,3654563.75,962.4995
21,546170.75,3654948.9375,986.9521
22,545528.8125,3655539.5312,1043.6267
23,544951.0625,3656374.0625,1101.8116
24,544541.1719,3656927.625,1109.2064
25,544080.1094,3657522.7187,1034.9231
26,543276.0,3658219.5937,965.8466
27,542668.4375,3658684.1875,882.2136
28,542025.1562,3659273.875,880.1337
29,541346.125,3659809.9688,929.1846
30,540488.4062,3660453.25,991.7519
31,539773.6406,3660971.4688,1078.5067
32,538951.6562,3661614.75,1139.5262
33,538147.5469,3662222.2812,1249.167
34,537486.3828,3662847.7187,1293.0063
35,536825.2266,3663723.3125,1226.1094
36,536074.7266,3664241.5,1202.9333
37,535413.5625,3664795.4688,1171.9647
38,534841.75,3665277.9375,1176.2388
39,534106.125,3665858.1563,1128.5815
40,533462.8359,3666358.5,1122.7743
41,532855.2813,3666876.7187,1110.2218
42,532229.8594,3667430.6563,1106.8427
43,531568.7031,3667984.5937,1100.9115
44,530563.625,3668835.75,1041.3666
45,530115.2188,3669262.9375,1037.4945
46,529382.5781,3670227.8437,978.2615
47,528524.8594,3671192.7813,919.4456
48,527725.7109,3672126.3125,914.2842
49,526796.5156,3673109.0937,867.4146
50,526206.8281,3673466.5,873.824
51,525563.5469,3674020.4375,857.3887
52,524884.5156,3674520.7813,850.2748
53,523883.8438,3675271.2813,846.4463
54,522918.9063,3676129.0,865.758
55,522079.0547,3677004.5938,873.2654
56,521060.5156,3677844.4375,836.2874
