,Easting(m),Northing(m),Elevation(m)
0,609743.4219,3611142.25,105.7848
1,609661.4063,3611362.4375,103.8656
2,609436.6875,3611518.2813,102.5511
3,609132.7344,3611882.0938,92.4674
4,609073.0,3612180.0312,86.4627
5,609043.7969,3612501.8125,81.8298
6,608979.9063,3612752.8125,85.089
7,608869.1562,3612961.0938,86.2961
8,608704.0,3613186.25,89.0973
9,608612.8125,3613325.125,89.7884
10,608451.9844,3613531.625,90.8964
11,608318.4375,3613777.8125,91.6813
12,608207.1094,3614071.6563,92.7085
13,608169.2656,3614364.625,91.6885
14,608128.4063,3614676.2813,91.6519
15,608082.6719,3614934.6875,93.3129
16,607907.9219,3615231.2812,92.6226
17,607619.0313,3615504.9688,88.2295
18,607501.4688,3615686.5,78.0707
19,607418.8906,3615985.4375,68.8847
20,607264.2344,3616244.0625,70.7308
21,607119.5,3616411.0625,75.6052
22,607009.2031,3616805.375,79.3025
23,606843.0,3617065.5938,89.1702
24,606802.4688,3617256.0625,91.8734
25,606836.25,3617592.0313,88.2882
26,606781.5,3617925.25,83.3813
27,606624.5312,3618295.8437,83.265
28,606282.125,3618776.9687,85.8729
29,606130.625,3619297.5625,72.8627
30,606003.25,3619662.75,62.294
31,605895.4844,3619908.2813,61.0399
