,Easting(m),Northing(m),Elevation(m)
0,626370.7813,3596471.5312,13.7365
1,625778.7187,3597140.8125,7.8132
2,624954.9687,3597913.0625,-4.0425
3,624259.9375,3598608.0938,-14.853
4,623436.2188,3599431.8438,-14.6161
5,622612.4687,3600255.5625,-10.0273
6,621840.2188,3601130.7812,-0.7077
7,621170.9375,3601697.125,0.7912
8,620372.9375,3602340.6562,1.1997
9,619471.9688,3602984.1875,-1.9178
10,618622.5,3603576.25,-2.0098
11,617927.4687,3603962.375,-0.761
12,617026.5,3604348.5,8.7548
13,616228.5156,3604734.625,22.8679
14,615333.0938,3605462.375,41.1509
15,614772.7812,3605927.4687,51.0209
16,614115.9687,3606379.9687,72.1246
17,613268.2188,3606922.6875,88.3138
18,612708.2813,3607404.0,95.934
19,612025.7812,3607957.9687,92.3275
20,611157.0625,3608492.9688,108.0198
21,610300.6875,3608944.2813,118.2823
22,609576.5937,3609340.3125,109.0088
23,608800.5938,3609803.5,98.4836
24,608153.3594,3610109.9375,98.8881
25,607583.875,3610398.5,112.4621
26,607018.5,3610612.5625,130.0447
