,Easting(m),Northing(m),Elevation(m)
0,657748.3906,3572518.5938,34.0
1,655876.1719,3573401.5313,76.0
2,654981.125,3573656.7812,115.0
3,654237.1719,3573894.4375,130.0
4,652942.4688,3574626.7812,193.0
5,652109.0312,3575182.75,242.0
6,651673.5156,3575398.5,299.0
7,651397.6719,3575440.3437,298.0
8,651115.7188,3575449.5,298.0
9,650886.2031,3575459.375,295.0
10,650380.1875,3575556.75,303.0
11,649820.2031,3575764.2812,278.0
12,649285.5,3576037.3438,271.0
13,648258.5469,3576825.5,244.0
14,647449.6094,3577479.75,282.0
15,646959.8594,3577805.75,460.0
16,646429.4219,3578222.5625,433.0
17,646023.3281,3578596.125,526.0
18,645420.9531,3579031.3438,299.0
19,644853.3125,3579323.5313,319.0
20,643967.625,3579865.6875,309.0
21,643504.9687,3580146.3125,286.0
22,643379.0156,3580248.9375,295.0
23,643278.1875,3580430.1875,295.0
24,643178.2656,3580546.2188,366.0
25,642794.1094,3580834.4375,300.0
26,642529.4375,3581013.4688,300.0
27,641294.3594,3581674.9688,199.0
28,640600.9531,3582030.8438,181.0
29,640131.0781,3582337.625,199.0
30,639801.0312,3582489.75,185.0
31,639458.1406,3582622.125,197.0
32,639047.3125,3582916.75,147.0
33,638735.5469,3583160.5313,100.0
34,638448.5312,3583382.6562,100.0
35,638143.5625,3583632.875,73.0
36,637858.0781,3583896.375,84.0
37,637607.0938,3584036.4375,93.0
38,637269.75,3584260.0625,49.0
39,637142.8125,3584434.4375,50.0
40,636791.9375,3584690.4687,86.0
41,636427.4063,3584985.4688,93.0
42,635968.6406,3585461.7813,133.0
43,635449.5625,3586035.0625,142.0
44,635130.9062,3586330.6875,167.0
45,634757.9375,3586762.5,155.0
46,634360.6406,3587057.0313,150.0
47,633838.375,3587382.4687,100.0
48,633606.8594,3587535.8125,50.0
49,633447.6875,3587670.5937,91.0
50,633280.2344,3587929.1875,107.0
51,633026.5937,3588258.375,85.0
52,632747.5313,3588528.5,85.0
53,632573.125,3588813.1562,83.0
54,631874.2656,3589566.8438,49.0
55,631274.9531,3590224.1875,8.0
56,630205.4219,3591531.8437,46.0
57,629946.8281,3591750.0,48.0
58,629688.9531,3591916.0,31.0
59,629361.9219,3592341.9688,38.0
60,628755.0625,3593096.7187,-1.0
61,628228.4062,3593735.2187,-14.0
62,627686.5781,3594517.125,39.0
63,627604.6563,3594712.0625,28.0
64,627579.4844,3594894.3437,28.0
65,627516.875,3595021.8125,26.0
66,627409.0781,3595209.0,18.0
67,627334.2969,3595321.7188,21.0
68,627239.5781,3595495.6563,21.0
69,627152.9063,3595627.25,16.0
70,627030.9531,3595805.5625,21.0
71,626946.9375,3595940.6875,15.0
72,626884.4688,3596003.9687,15.0
