,Easting(m),Northing(m),Elevation(m)
0,606631.5469,3610712.5625,134.2692
1,606452.4688,3610917.875,127.417
2,606166.125,3611194.0937,117.092
3,605881.4531,3611531.0313,114.1374
4,605822.25,3611679.0313,109.5137
5,605544.0156,3612063.8438,102.0733
6,605341.4687,3612415.1875,116.9225
7,605161.1719,3612680.4375,123.6186
8,605015.4688,3613093.9375,121.5728
9,604961.3281,3613180.25,120.7042
10,604797.8438,3613352.3125,118.9834
11,604596.3437,3613629.9375,118.9792
12,604365.9375,3613756.9688,120.6038
13,604219.25,3613832.6875,121.4202
14,604060.9375,3613964.0625,121.0034
15,603857.6875,3614231.2813,117.7724
16,603650.4531,3614565.0313,113.25
