,Easting(m),Northing(m),Elevation(m)
0,607912.7812,3610815.125,102.3495
1,607271.3594,3611598.8125,94.9296
2,607053.8906,3611821.5625,91.0
3,606566.875,3612212.875,91.8873
4,606032.1563,3612606.5,97.0742
5,605775.9688,3612778.5312,102.367
6,605360.5625,3613146.0,109.661
7,605093.5,3613415.875,111.4319
8,604761.0625,3613911.125,105.846
9,604536.6563,3614147.5,107.2062
10,604222.2344,3614573.9375,103.5625
11,603923.2656,3614927.5937,105.0685
12,603710.25,3615204.5625,107.0502
13,603492.4063,3615632.6875,110.7985
14,603337.875,3615992.2187,115.1875
15,603210.2031,3616241.4063,117.8428
