,Easting(m),Northing(m),Elevation(m)
0,606373.8125,3610080.75,145.6051
1,606096.7344,3610146.6875,149.2342
2,605696.8281,3610384.0312,153.2089
3,605492.9688,3610560.375,150.4332
4,605332.625,3610689.375,150.1478
5,604986.8125,3611046.625,151.7725
6,604678.4063,3611366.0937,138.5241
7,604295.7188,3611676.5937,115.7474
8,604053.5156,3611873.5625,121.0943
9,603938.5,3611998.1563,125.2412
10,603809.2812,3612255.0312,137.481
11,603596.125,3612825.875,144.5714
12,603491.5781,3613022.1875,143.7106
13,603410.8437,3613163.0312,143.018
14,603371.6875,3613323.5312,141.2325
15,603139.375,3613556.6875,141.7746
16,602803.3906,3613811.9063,142.7107
17,602392.25,3614020.0312,145.3852
18,602320.2187,3614281.75,138.8682
19,602064.7031,3614554.4375,137.5622
20,601765.4219,3614923.5312,135.2074
21,601576.6562,3615206.9687,131.3333
22,601352.8594,3615505.3438,128.0782
23,601254.125,3615732.5625,124.9375
24,601226.6562,3615965.9688,121.5076
25,601132.0156,3616238.0625,120.3216
