,Easting(m),Northing(m),Elevation(m)
0,625284.1875,3597414.0938,0.0
1,624825.4687,3597879.75,0.0
2,624686.4687,3598366.25,0.0
3,624165.2031,3598998.75,0.0
4,623828.4531,3599593.25,0.0
5,623535.2969,3600431.4063,0.0
6,623294.1406,3600924.1563,0.0
7,622762.7656,3602148.0625,0.0
8,622229.375,3602890.125,0.0
9,621613.1094,3603504.5625,0.0
10,620924.1875,3604187.7812,0.0
11,620282.0313,3604495.1875,0.0
12,619994.7031,3605062.875,0.0
13,619739.0781,3605787.5625,0.0
14,619519.0469,3606223.2188,0.0
15,619158.0938,3606815.7812,0.0
16,618839.3906,3607293.8437,0.0
17,618480.8438,3607811.75,0.0
18,617883.25,3608728.0313,0.0
19,617452.625,3609433.0937,0.0
20,617126.3281,3610520.7813,0.0
21,617046.6406,3610919.1875,0.0
22,616966.9688,3611516.75,0.0
23,616887.2812,3612074.5,0.0
