,Easting(m),Northing(m),Elevation(m)
0,498255.3594,3692407.875,421.6712
1,497981.0,3692793.1875,488.6447
2,497817.8125,3693040.25,529.1829
3,497689.3125,3693254.25,548.1397
4,497499.4766,3693594.125,543.7355
5,497283.8359,3693910.4063,520.3931
6,497061.0234,3694327.2812,543.347
7,496795.0625,3694844.8125,543.7983
8,496572.2344,3695470.1875,563.9921
9,496349.4062,3696095.5625,587.8573
10,496108.9219,3696536.75,592.0709
11,495635.8281,3696970.375,589.0427
12,495167.2813,3697808.875,598.9893
13,494340.6406,3698701.625,498.2843
14,493696.5,3699089.6562,476.2599
15,492846.6719,3699748.5,392.1044
16,492294.0156,3700428.7187,371.5421
17,491795.2188,3701286.25,364.0
18,490784.8359,3702426.8125,364.0
19,489849.5469,3703298.375,364.0
20,489020.5391,3704169.9063,364.0
21,488063.9688,3705020.2187,346.0312
22,487400.1719,3705711.8438,338.1588
23,486528.5234,3706689.75,324.576
24,485614.5781,3707795.0312,317.4518
25,484849.3984,3708283.9063,320.4908
26,484254.1641,3709282.9687,326.6237
27,483488.8906,3710005.7188,350.1311
28,483021.2812,3710792.1875,359.0323
29,482171.0391,3711366.0938,365.0
30,481405.8047,3712025.0625,365.0
31,480874.3906,3712620.25,365.0
32,480130.4141,3713491.75,365.0
33,479328.8438,3714313.3437,365.0
34,478691.1484,3714866.0,365.0
35,477819.5937,3715610.0,365.378
36,476863.0313,3716290.2188,367.9465
37,476034.0156,3717055.4688,383.1833
38,475205.0273,3717756.9375,415.9978
39,474451.2813,3718447.0312,419.1139
40,473708.7109,3718978.875,417.2022
41,472815.625,3719591.0,413.0072
42,471967.9063,3720201.25,414.6947
43,471355.2891,3720603.0312,414.3669
44,470715.1094,3721258.5313,410.0265
45,469878.5312,3721526.75,424.0642
46,468977.1406,3721774.2187,419.5321
47,468106.2656,3722425.7187,412.6552
48,466881.6094,3723370.8438,411.2992
49,465967.3438,3724167.0,411.0
50,465017.9375,3725005.0,412.4924
51,464029.3125,3725884.375,421.4217
