,Easting(m),Northing(m),Elevation(m)
0,493074.8594,3698812.5312,439.3192
1,492012.0937,3699428.9375,373.6831
2,490802.5313,3700327.75,365.3425
3,489666.2188,3701179.75,373.8134
4,488627.8203,3702106.3437,364.0
5,487589.4297,3703032.9063,321.8565
6,486551.0312,3703959.5,331.3575
7,486040.6562,3704528.5,385.3139
8,485530.2813,3705097.5,399.9772
9,484608.9063,3705894.125,406.2908
10,484020.0938,3706677.375,351.2347
11,482955.7812,3707677.125,362.3605
12,481836.625,3708667.75,400.846
13,481254.6719,3709347.5313,372.4617
14,480545.2812,3709960.2187,365.0
15,479868.0313,3710734.2188,365.7317
16,479319.7891,3711379.2188,365.0
17,478803.7969,3712411.1875,365.0
18,478574.6719,3713408.1563,365.0
19,477937.0469,3714173.2812,365.0
20,477158.9844,3714797.7187,365.1887
21,476255.9219,3715410.4688,375.4514
22,475546.7344,3716190.5625,398.3374
23,474513.8047,3716926.375,422.738
24,473320.2227,3717848.5313,424.3349
25,472270.1992,3718663.25,424.9178
26,471083.4766,3719324.0312,423.6718
27,470224.9609,3720086.4063,427.4585
28,469386.5781,3720989.25,424.0187
29,467903.332,3721666.25,421.583
30,466162.207,3723084.9688,424.929
31,465033.8203,3723987.5312,420.9279
32,463503.7813,3725346.875,425.9392
