,Easting(m),Northing(m),Elevation(m)
0,444561.7969,3743993.75,365.4736
1,443170.3281,3745103.75,425.5645
2,442281.3281,3745643.75,417.418
3,441164.7031,3746680.7656,434.4912
4,439786.5078,3746957.7969,512.8682
5,438222.8672,3747736.75,190.6631
6,437010.7656,3747945.0781,178.3994
7,435797.1953,3748328.2188,121.0664
8,434297.2969,3748965.4375,192.6895
9,433264.4219,3749190.6094,184.2686
10,431848.3125,3749932.0313,240.2246
11,430588.6562,3750490.375,244.4512
12,429689.1563,3751011.1719,232.1787
13,427764.5703,3751978.9531,302.6738
14,426614.1562,3752181.0313,260.4141
15,425374.6875,3752892.0625,203.7939
16,423804.0781,3753552.9687,182.8291
17,422876.2344,3754120.3437,194.6475
18,421546.0156,3754823.7344,206.6504
19,420199.0312,3755389.9375,182.4854
20,418960.1797,3755927.1875,182.0
21,417513.875,3756358.2656,241.5732
22,416075.2656,3756720.25,250.6006
23,413988.0469,3757177.0,203.8818
24,413096.2656,3757869.1406,242.5244
25,412326.0156,3757807.0,211.1523
26,411166.4531,3758172.625,217.374
27,410122.8516,3758507.125,216.3574
28,408847.3359,3759167.625,216.1152
29,408035.6406,3759401.375,202.3447
30,407339.9062,3759821.75,222.9043
31,406619.0938,3760415.8906,238.3564
32,405644.7422,3761105.6563,211.5508
33,404804.3906,3761122.1406,162.8379
34,403590.6641,3761817.375,151.9258
35,402585.7109,3762424.125,112.4883
