,Easting(m),Northing(m),Elevation(m)
0,602343.5,3618366.2188,124.5956
1,601901.5938,3619023.625,130.6126
2,601804.5156,3619142.5312,130.1801
3,601471.5625,3619456.9688,123.4731
4,601302.1094,3619559.9062,123.0309
5,601244.1875,3619581.375,122.2921
6,601136.9375,3619694.0,121.8104
7,600555.6562,3620217.375,109.7713
8,600485.9062,3620300.9063,107.6876
9,600090.5469,3620661.4688,98.8005
10,599513.25,3621049.4062,94.0953
11,599189.2812,3621259.3125,91.3528
12,599004.375,3621436.5937,90.6337
13,598696.4688,3621758.0,89.3228
14,598360.0,3622196.5625,85.8007
15,598358.0625,3622199.2187,85.7843
16,598331.0937,3622240.8125,85.5576
17,598294.1094,3622306.5625,85.2474
18,598262.2812,3622383.125,85.1134
19,598234.375,3622479.0313,85.1154
20,598229.125,3622541.3437,85.0687
21,598153.1875,3622669.9687,84.7537
22,598146.0469,3622814.6875,84.8255
23,598107.0313,3622913.9688,83.8428
24,598060.75,3623007.5312,82.7292
25,597861.3437,3623120.4375,80.5625
26,597691.0312,3623207.5,77.5401
27,597578.375,3623251.75,78.3767
28,597479.7969,3623290.0,79.4926
29,597431.5,3623316.125,80.0833
30,597363.1094,3623352.3437,81.0879
31,597176.0313,3623521.3438,84.7656
32,597053.1563,3623748.1562,87.4409
33,596934.9375,3623864.4063,89.1753
34,596783.5312,3624043.0312,91.1143
35,596710.3594,3624125.0937,92.1627
36,596554.8125,3624171.9063,94.7369
37,596407.2188,3624201.25,96.4382
38,596245.8125,3624254.2812,97.693
