,Easting(m),Northing(m),Elevation(m)
0,545756.0,3683960.5625,1424.923
1,544869.0312,3684648.2812,1490.095
2,542453.5469,3685756.3438,1603.0424
3,540874.5547,3686474.0313,1711.3829
4,539469.4609,3687286.4062,1678.8071
5,537385.5234,3688642.25,1240.0366
6,535332.1875,3690116.75,1429.3966
7,533295.7266,3691624.5938,1341.1115
8,531527.0547,3692982.625,1306.5612
9,528856.2812,3694810.8125,1280.0
10,526650.1328,3696293.75,1154.0907
11,525661.3281,3697635.3125,1066.0367
12,524352.2656,3698691.0,1141.8263
13,522008.6094,3699218.8437,1218.11
14,520382.8281,3700063.4062,1128.8693
15,518530.1406,3701045.0625,1063.4091
16,515723.8906,3702422.9375,788.2361
17,513939.0313,3702794.0938,718.9982
18,511225.9219,3703089.5625,624.8022
19,509151.4531,3703415.9375,564.2213
