,Easting(m),Northing(m),Elevation(m)
0,514217.5469,3702954.8438,727.2646
1,513041.4531,3703313.125,728.085
2,512060.1406,3703616.875,668.7852
3,511078.9219,3703905.0,588.2256
4,509794.1172,3704294.3438,548.0
5,508470.0625,3704679.1875,548.0
6,507403.4531,3705060.6875,487.0
7,506282.3438,3705784.75,487.1543
8,505092.9922,3706618.5625,487.0
9,503925.125,3707529.4375,624.5381
10,502677.9687,3708560.5,764.9824
11,501868.2344,3708988.6562,733.8555
12,500960.25,3709465.625,692.085
13,500076.9141,3709932.875,578.9316
14,498847.3906,3710407.5938,481.207
15,497617.7031,3710882.4062,460.0918
16,496395.9609,3711372.5625,446.873
17,495076.9531,3711609.6875,436.6455
18,493899.6719,3711723.5625,426.0
19,492618.5547,3712012.4687,425.2168
20,491354.7031,3712216.9063,394.6299
21,490088.8906,3712383.25,380.6094
22,488758.6563,3712578.6563,397.7285
23,487426.4453,3712735.9687,364.374
24,486094.2344,3712893.2813,363.1426
25,484896.8125,3713146.5,362.5264
26,483203.875,3713294.6875,364.3662
27,481304.9531,3713077.4375,365.0
