,Easting(m),Northing(m),Elevation(m)
0,380921.125,3752899.0,-0.6688
1,380864.6875,3753081.75,-0.6304
2,380676.7188,3753455.75,-0.7137
3,380609.8438,3753652.75,-0.4381
4,380564.9375,3753760.75,0.0861
5,380544.9375,3753821.5,0.0265
6,380524.375,3753882.75,0.0336
7,380497.5938,3753947.75,-0.0235
8,380471.2188,3754009.5,0.006
9,380435.875,3754078.75,-0.0926
10,380393.7813,3754171.5,-0.3194
11,380326.8125,3754251.5,0.098
12,380188.1875,3754217.0,1.9806
13,380042.2813,3754223.25,0.3967
14,379883.9688,3754437.0,0.4098
15,379791.0625,3754602.5,0.0388
16,379710.5938,3754728.75,-0.0506
17,379645.1563,3754817.0,-0.0196
18,379588.625,3754884.75,0.0378
19,379532.6563,3754959.0,0.0899
20,379489.6563,3755035.75,-0.0036
