,Easting(m),Northing(m),Elevation(m)
0,563257.7187,3699958.5312,1052.4761
1,562685.8281,3699992.1563,1045.9806
2,562361.6875,3700262.0,1059.9626
3,561809.8125,3700569.25,1070.2666
4,561141.375,3700982.25,1048.6836
5,560643.7656,3701256.5313,1039.589
6,560014.375,3701577.0,1007.083
7,559352.8438,3701992.7188,959.8999
8,558545.3125,3702444.0,962.0853
9,557890.6563,3702796.6562,989.4384
10,557119.8125,3703237.25,1050.7823
11,556300.2656,3703682.125,1140.9193
12,555535.1563,3704143.9375,1237.6931
13,555015.9375,3704466.25,1280.7473
14,554675.0,3704769.4063,1305.5226
15,554120.7031,3705194.1562,1373.5522
16,553456.0625,3705651.8125,1519.777
17,552907.6875,3705945.6875,1586.3965
18,552152.6875,3706350.0,1570.3589
19,551645.8438,3706573.9062,1584.5364
20,550956.3125,3706824.75,1629.5112
21,550426.5,3707093.25,1715.1855
22,549963.625,3707280.5,1768.511
23,549453.375,3707472.5,1770.0098
24,548821.0781,3707630.6563,1770.1135
25,547915.2656,3707872.0312,1707.5747
26,547240.375,3708063.5,1681.5377
27,546780.375,3708159.5,1678.0897
28,546121.9219,3708266.75,1607.9388
29,545618.8437,3708461.7187,1573.8431
30,545081.5313,3708739.0,1525.7192
31,544490.8125,3709073.0,1521.9067
32,543539.3437,3709651.6563,1484.3588
33,542800.3906,3710035.7813,1451.5009
34,542214.7656,3710359.5,1372.0
35,541407.3125,3710781.2812,1351.25
36,540699.8125,3711121.0938,1355.6608
37,539826.4375,3711508.0,1438.1479
38,539114.5,3711866.25,1461.9133
39,538566.3125,3712253.75,1413.3185
40,538217.6719,3712656.4375,1402.0
41,537671.6563,3713041.4063,1404.6348
42,537166.8906,3713327.2187,1398.2749
43,536492.7344,3713572.2188,1396.9392
44,535987.4766,3713850.125,1353.5459
45,535227.75,3714112.25,1338.3761
46,534880.0,3714231.875,1316.6935
47,534428.3281,3714558.2188,1314.0215
48,533568.8125,3714913.5,1292.453
49,532823.375,3715238.0,1305.0029
50,532194.4687,3715458.4687,1321.6969
