,Easting(m),Northing(m),Elevation(m)
0,547062.375,3704512.0312,1228.125
1,546272.9688,3704575.5,1132.7877
2,545608.8125,3704575.5,1083.9446
3,544966.0,3704933.25,1024.1388
4,544272.1875,3705459.5,973.3167
5,542953.875,3706861.75,972.9255
6,542181.5,3707504.75,999.3511
7,541263.6875,3708296.25,1103.4288
8,540461.0,3709069.0,1196.4742
9,539628.1406,3709460.2187,1298.875
10,538825.5625,3710006.0,1406.5553
11,538506.4141,3710407.7187,1424.25
12,538003.4375,3711053.25,1462.8138
13,537609.6875,3711445.5,1443.4049
14,537151.7891,3711908.2813,1435.625
15,536283.0,3712552.25,1357.6353
16,535302.5,3713187.25,1341.0
17,534587.375,3713641.0,1278.4901
18,533999.1094,3714110.8437,1273.5868
19,533327.5391,3714664.6563,1274.4312
20,532580.125,3715197.1875,1291.875
21,531575.125,3715918.0,1368.0797
22,530338.5,3716765.75,1398.5385
23,529490.3125,3717347.0313,1412.2114
24,528275.8594,3718196.5938,1478.4844
25,527545.9063,3718771.1562,1484.875
26,526818.0,3719433.5625,1463.0
27,525966.9453,3720229.1875,1427.875
28,525357.9688,3720635.1875,1367.125
29,524767.0625,3720938.0,1289.2542
30,524136.375,3721559.3125,1291.25
31,523089.4062,3722380.5,1291.4728
32,522092.5156,3723276.75,1255.25
33,521299.7031,3723692.4375,1184.25
34,520922.5781,3723982.5625,1181.375
35,520362.2187,3724435.4688,1245.6326
36,519864.8594,3724812.25,1234.0
37,519298.5156,3725142.2187,1165.0625
38,518583.2422,3725660.6094,1041.375
39,517965.1719,3726080.5,958.125
40,517111.9687,3726645.125,891.375
41,516263.2969,3727150.3906,796.5
42,515433.0312,3727576.9844,792.0625
43,514610.2109,3727951.8906,739.6875
44,513782.5937,3728453.7812,720.0
45,513086.0156,3728927.9844,670.6875
46,512138.1094,3729605.8281,659.9375
47,511138.8594,3730363.3594,609.0
48,510418.0469,3730840.5625,603.5625
49,509363.2031,3731490.1563,579.8125
50,508518.7266,3732017.4844,557.0
51,507664.2891,3732574.3281,547.125
