,Easting(m),Northing(m),Elevation(m)
0,599144.5,3674847.0,-1014.6797
1,595272.8281,3676653.8125,-1006.944
2,591504.4063,3678285.5312,-995.625
3,588288.5313,3679654.4375,-939.0
4,585817.1563,3680727.5938,-880.375
5,582996.4219,3681902.9687,-817.1199
6,580536.2187,3682966.625,-704.9374
7,578505.2813,3683851.4375,-635.5
8,577973.875,3684017.0,302.7689
9,577190.5625,3684508.0937,301.625
10,576156.5625,3685110.2812,321.0213
11,575090.5625,3685711.5,322.904
12,573433.375,3686646.25,290.9803
13,571642.9375,3687575.3437,189.0979
14,570329.7031,3688131.3125,183.0
15,569320.5313,3688590.25,183.0
16,568360.1719,3689213.5625,183.0
17,567563.3437,3689946.1562,183.0
18,566697.4687,3690769.2188,183.0
19,565681.4844,3691638.5938,183.0
20,564710.8438,3692506.7813,221.4094
21,563543.5469,3693485.0625,243.0
22,562231.125,3694489.0,272.9039
23,561406.0,3695083.0,303.5835
24,560501.8125,3695515.0,411.2565
25,559278.4375,3696216.0,556.3654
26,558804.8125,3696543.0,633.6487
27,557589.3125,3697088.25,589.9817
28,556718.75,3697589.25,701.2913
29,555924.4062,3697905.6562,689.8705
30,555031.4375,3698775.0,730.1114
31,554106.6563,3699365.5938,763.3039
32,552863.7187,3700083.7813,858.1524
33,552091.3125,3700691.0,900.3453
34,551307.4375,3701060.8437,956.0647
35,550594.0625,3701502.5,1038.839
36,550219.625,3702064.25,1053.5684
37,549578.375,3702354.75,1096.286
38,548851.5625,3702843.25,1121.8741
39,548422.5156,3703075.8438,1164.6965
40,548091.7969,3703599.9375,1208.5614
41,547510.1406,3703886.875,1228.7844
42,547062.5625,3704513.25,1199.5421
