,Easting(m),Northing(m),Elevation(m)
0,538398.875,3712447.4844,1404.7543
1,538063.8281,3712955.4062,1402.0
2,537774.0625,3713360.75,1418.7981
3,537527.8594,3713651.3125,1408.1195
4,537179.4375,3714046.75,1437.6169
5,536907.375,3714322.0,1455.1396
6,536675.3047,3714722.4062,1468.0132
7,536404.1953,3715331.7813,1529.2595
8,536221.375,3715634.25,1564.7775
9,535936.2422,3716061.5,1548.4415
10,535587.8516,3716507.5938,1497.6907
11,535260.2344,3716825.9687,1463.0474
12,534990.375,3717124.0,1495.4467
13,534781.4531,3717524.2813,1474.103
14,534575.0625,3717749.5,1474.2996
15,534439.4688,3718029.8125,1458.6514
16,534228.0234,3718425.5625,1439.9063
17,533963.8906,3718907.6562,1424.6617
18,533739.7734,3719349.2188,1462.1936
19,533391.9922,3719880.0625,1463.6632
20,533112.6406,3720369.4688,1437.701
21,532859.875,3720735.375,1428.8137
22,532509.5937,3721101.9062,1444.9359
23,532341.5781,3721407.5625,1435.9137
24,532142.8516,3721872.2188,1396.2408
25,531921.5938,3722389.5,1372.182
26,531600.9531,3723139.1875,1345.5323
27,531281.8594,3723852.9375,1334.7185
28,530847.5625,3724713.3437,1318.0536
29,530547.2656,3725253.4062,1318.9617
30,530243.4375,3725703.0,1322.0687
