,Easting(m),Northing(m),Elevation(m)
0,558153.5937,3689774.5625,263.0609
1,558016.9531,3690159.3125,293.5384
2,557928.4375,3690459.1875,323.4655
3,557864.9375,3690730.25,372.3864
4,557910.625,3690951.5,426.0075
5,557935.25,3691182.2187,439.0924
6,557836.5625,3691275.6875,428.7932
7,557675.5469,3691743.0938,456.9326
8,557603.75,3691831.5,451.5474
9,557437.3125,3692071.8125,450.9868
10,557297.2344,3692279.1875,455.4759
11,557112.7969,3692462.0,452.1908
12,556800.625,3692699.9062,462.9244
13,556526.8437,3692853.5938,451.4082
14,556370.5781,3693007.1563,483.5721
15,556250.125,3693153.5312,497.1625
16,556025.7188,3693381.8125,530.7388
17,555804.9219,3693571.3438,578.9084
18,555539.4688,3693768.3437,631.0423
19,555204.5313,3693994.3125,658.868
20,554879.1719,3694192.4375,648.9941
21,554645.9375,3694347.5,692.5283
22,554380.4687,3694548.9688,716.1947
23,554085.9375,3694777.125,736.2073
24,553876.5,3694970.6563,734.518
25,553700.375,3695215.75,789.1304
26,553484.3125,3695421.0,796.0193
27,553334.6875,3695578.6562,784.0942
28,553129.6094,3695851.6875,756.442
29,552892.0,3696122.5937,733.4392
30,552652.7812,3696377.2812,734.6055
31,552455.0469,3696590.6562,763.2548
32,552275.4687,3696791.5625,755.5598
33,552060.75,3696999.9062,827.3858
34,551872.875,3697178.875,874.7796
