,Easting(m),Northing(m),Elevation(m)
0,464505.125,3781910.75,495.6888
1,464260.3438,3783289.8437,597.0737
2,463804.9687,3783815.25,612.1695
3,463097.332,3784465.9531,634.3483
4,462379.4297,3785293.3906,589.5998
5,461438.5586,3786262.25,762.8698
6,460609.1875,3787231.75,660.0
7,459944.0781,3787885.375,695.625
8,458966.1563,3788649.5,718.0
9,458285.8438,3789246.25,750.0
10,457445.4062,3789901.75,789.0
11,456451.6875,3789949.5,847.0
12,455786.0937,3790175.5,966.0
13,455183.0937,3790560.75,1051.0
14,454027.6875,3791150.25,1046.0
