,Easting(m),Northing(m),Elevation(m)
0,483062.1406,3760455.8281,666.4493
1,482697.9141,3760771.7344,631.5842
2,482346.4375,3761072.7656,650.7795
3,482019.9219,3761352.4531,636.7667
4,481666.4844,3761655.1875,599.3961
5,481235.5625,3762041.5312,568.9974
6,480952.875,3762373.25,559.4479
7,480710.6094,3762528.2031,600.8333
8,480510.6406,3762641.0937,621.1972
9,480161.125,3763038.6563,585.6351
10,479881.6094,3763365.4375,552.935
11,479606.8125,3763741.25,554.4449
12,479257.3281,3764128.2656,520.2663
13,479004.1875,3764423.75,558.8019
14,478657.4219,3764778.7812,478.8878
15,478375.4453,3765033.2813,520.999
16,478009.0703,3765422.9062,490.3796
17,477764.1563,3765680.6094,460.8385
18,477612.0156,3766043.5937,411.1245
19,477303.9687,3766373.25,409.5634
20,476911.25,3766852.0,371.4067
21,476639.4688,3767276.5,359.2786
22,476416.7422,3767649.125,343.443
23,476110.6719,3768151.7656,340.3818
24,475747.4219,3768726.5312,326.3579
25,475404.0234,3769299.0,318.8767
26,475008.0625,3769920.8125,304.8651
27,474709.168,3770390.2031,306.1517
