,Easting(m),Northing(m),Elevation(m)
0,454225.7188,3788056.75,885.0
1,454986.1875,3787596.5,982.0
2,455621.7188,3787117.25,1042.0
3,456140.375,3786770.0,961.0
4,456537.7188,3786340.75,959.0
5,457032.3125,3785764.75,851.0
6,457489.3125,3785412.0,907.0
7,457980.7188,3784869.5,730.0
8,458952.25,3783674.0,640.0
9,459848.2734,3782785.1094,612.0
10,460509.4492,3782231.2969,595.0
11,461206.3945,3781784.6719,554.0
12,461867.625,3781355.9219,554.0
13,462600.3789,3780730.5313,554.0
14,463315.2891,3780123.0,457.0
15,463946.9297,3779581.7031,457.0
16,464655.8359,3779032.9688,457.0
17,465263.5898,3778443.2188,447.0
18,465907.1211,3777835.5938,434.0
19,466520.8281,3777261.0781,399.0
20,467111.582,3776645.0156,390.0
21,467634.8164,3776113.3438,386.0
22,468174.9766,3775531.0156,371.0
23,468697.3164,3774985.1719,343.0
24,469263.918,3774357.9844,339.0
25,469669.0313,3773851.5938,335.0
26,470116.3477,3773210.1719,331.125
