,Easting(m),Northing(m),Elevation(m)
0,476129.5625,3764348.375,488.1159
1,475800.8906,3764625.4531,465.3902
2,475412.7656,3764952.6562,464.6504
3,474861.8281,3765417.0938,445.853
4,474440.2539,3765772.5,410.9195
5,474061.9883,3766091.375,380.8162
6,473675.3594,3766417.3125,318.2799
7,473114.4336,3766890.1719,352.8482
8,472467.207,3767411.8125,297.7083
9,472067.3594,3767725.9375,290.0
10,471456.5937,3768205.75,285.2933
11,470991.9023,3768585.25,285.4008
12,470507.7812,3768980.6094,293.7714
13,469917.9375,3769459.7031,296.2853
14,469345.2422,3769922.0,309.5029
15,468737.6211,3770400.5938,315.2353
16,468376.0508,3770681.5937,326.3032
17,468163.2383,3770669.3438,331.5092
18,467876.4023,3770874.6719,336.019
19,467390.8711,3771222.2187,348.5041
20,466717.8594,3771703.9844,359.6605
21,465899.0234,3772290.125,357.9926
22,465192.6563,3772795.75,360.5748
