,Easting(m),Northing(m),Elevation(m)
0,483236.0937,3760266.0,686.7882
1,482831.4219,3760557.0156,654.907
2,482426.7422,3760852.6719,647.7114
3,482099.0781,3761107.5781,669.6509
4,481694.7031,3761408.7188,631.1945
5,481392.4141,3761610.9375,584.082
6,481070.625,3761828.0,610.0925
7,480777.6484,3762029.2344,612.9333
8,480405.7656,3762294.3125,618.8669
9,480127.8984,3762411.1094,655.5765
10,479899.3828,3762499.375,659.3076
11,479493.6562,3762819.0156,647.3669
12,479050.0469,3763168.0312,607.3736
13,478555.0,3763552.75,620.735
14,478083.5625,3763692.25,605.4927
15,477758.5,3763984.0,600.0097
16,477398.3125,3764286.75,574.928
17,477080.7656,3764501.5938,527.8007
18,476760.6562,3764775.2344,505.5216
19,476514.0,3765041.75,482.1268
20,476175.4766,3765374.7031,471.1964
21,475677.4922,3765817.7031,444.5199
22,475392.7031,3766060.5,454.1676
23,475025.6484,3766440.4219,426.6258
24,474778.3633,3766759.0,423.9091
25,474071.4766,3767517.2969,318.3811
26,473531.4102,3768393.4062,298.4141
27,473068.8047,3769098.3125,296.0514
28,472231.3633,3770325.6406,290.591
29,471484.4648,3771385.2188,314.7711
30,470713.2656,3772362.3906,327.1768
31,469803.5469,3773661.0625,328.4194
32,468959.3789,3774774.5,335.992
33,468392.7188,3775532.3438,366.2866
34,467798.6875,3776315.0,386.0639
35,467356.5938,3777013.5938,396.8829
36,466880.7773,3777767.5313,390.9084
37,466394.7266,3778514.0625,414.7977
38,465809.4453,3779388.5781,442.0496
39,465374.2656,3780282.7969,459.9968
40,464833.1797,3781265.3906,484.7758
41,464501.6484,3781780.4531,492.9337
42,463445.4531,3782391.875,536.8179
43,462849.1328,3782963.875,574.8805
44,462101.4062,3783785.5,608.5872
45,461079.7539,3784694.3594,665.9037
46,460137.9766,3785098.2188,759.0901
47,459399.4062,3785555.75,790.0
48,458734.0195,3786129.0313,737.125
49,457751.8984,3786687.0156,824.1896
50,456780.1367,3787319.4531,1028.007
51,455948.3477,3787971.5,1144.7106
52,455333.6875,3788736.0,969.0
53,454700.4805,3789118.9844,948.25
54,453959.9062,3789476.25,1005.0
55,453169.5,3789818.5,1169.0
56,452708.75,3790064.5,1176.0
57,451875.75,3790305.5,1258.0
58,451113.6641,3790632.9063,1293.75
59,450171.0313,3791590.6562,1521.5
60,449297.2188,3792214.75,1814.0
61,448776.8437,3792675.25,1742.0
62,447917.4062,3793351.25,1729.0
63,447125.6719,3793984.6875,1634.875
