,Easting(m),Northing(m),Elevation(m)
0,507902.5,3732659.0,546.4556
1,507585.6641,3732645.4687,546.0
2,507141.2188,3732786.25,544.8003
3,506654.375,3733123.75,545.0593
4,506291.625,3733466.9062,548.0
5,506014.2188,3733864.1406,547.75
6,505581.2656,3733888.1875,547.25
7,505108.2266,3734224.9219,545.5
8,504835.625,3734297.1094,523.625
9,504297.0234,3734615.3125,502.1145
10,504068.6562,3734985.0,492.3105
11,503934.3359,3735280.2031,488.0502
12,503753.0703,3735552.1719,485.5618
13,503499.75,3735700.25,483.6096
14,503118.5,3735648.25,481.4033
15,502911.75,3735847.25,479.7923
16,502585.5312,3736054.25,477.6363
17,502325.625,3736341.25,474.5243
18,502071.8047,3736645.7656,472.375
19,501705.4687,3737004.75,468.4055
20,501493.2813,3737287.25,466.4701
21,501293.9922,3737596.7813,464.492
22,501042.5,3737812.5,462.1315
23,500934.5781,3738022.7344,460.125
24,500469.5156,3738351.4844,459.0
25,500480.9375,3738630.0,458.174
26,500179.5,3738941.75,453.0496
27,499969.8125,3739181.25,451.5005
28,499766.0781,3739518.75,448.5
29,499654.0313,3739817.5469,446.8699
30,499310.2187,3740050.0,451.9232
31,499129.2266,3740085.3281,454.2889
32,498871.6797,3740163.1875,459.25
33,498666.2812,3740325.75,461.0547
34,498309.5938,3740457.0,468.2207
35,498101.0,3740689.0,472.0341
36,497983.25,3741056.25,474.5801
37,497832.9375,3741447.5,477.4641
38,497627.4688,3741741.5,480.7634
39,497439.125,3742078.75,483.0
40,497309.5391,3742349.4062,483.0
41,497129.0312,3742717.25,481.77
42,496719.25,3742929.0,473.5423
43,496522.9688,3743099.75,485.0304
44,496299.2813,3743313.25,485.9977
45,496007.9062,3743528.0,486.0
46,495567.1875,3743750.5,486.0
47,495309.4063,3744076.25,486.0
48,495106.25,3744355.25,486.0
49,494949.1563,3744509.5,486.0
50,494813.6875,3744672.75,486.0
51,494692.8125,3745059.0,486.0
52,494455.125,3745146.7969,486.0
53,494078.2734,3745098.6875,486.0
54,493650.6563,3745214.25,486.0
55,493419.75,3745389.75,486.0
56,493176.8438,3745687.75,486.0
57,492893.875,3746056.5,483.0899
58,492642.7187,3746284.0,478.7427
59,492269.0937,3746280.6406,472.1401
60,491559.0,3746777.25,463.2916
61,491274.5625,3747156.75,460.8515
62,491073.3281,3747491.2813,460.125
63,490820.9375,3747802.0,465.1902
64,490516.2266,3748124.125,475.1233
65,490342.9219,3748586.625,479.0
66,490123.3281,3748970.3125,485.3243
67,490069.3359,3749413.2813,485.375
