,Easting(m),Northing(m),Elevation(m)
0,508825.4531,3734708.4687,529.1264
1,508672.6875,3735187.75,522.8218
2,508619.8281,3735555.1094,518.1256
3,508385.9922,3736201.8125,510.0674
4,508219.4687,3736789.25,509.7655
5,507962.5625,3737288.3594,520.507
6,507677.8594,3737730.5937,525.9794
7,507374.0625,3738141.2969,523.1576
8,507096.375,3738419.0,507.4691
9,506643.6875,3738900.25,488.8256
10,506199.5781,3739468.5469,485.4223
11,505852.3438,3739991.75,485.7552
12,505861.5703,3740271.75,499.0888
13,505097.3125,3740924.0469,497.7032
14,504844.3203,3741134.8437,498.6441
15,504211.8594,3741387.7969,499.4419
16,503716.8437,3741793.9844,510.3291
17,503444.2969,3742057.1563,529.8078
18,503037.6875,3742278.0,504.745
19,502550.625,3742464.8125,504.1702
20,502155.9063,3742690.3594,487.9331
21,501766.4297,3743158.6563,494.983
22,501624.0469,3743510.2344,507.0431
23,500965.3906,3744086.2187,518.2136
24,500410.125,3744541.0,488.879
25,499923.3125,3744856.25,490.7662
26,499444.2109,3745096.0937,480.3908
27,498794.3359,3745060.4844,481.0504
28,498249.7813,3745407.0,482.2753
29,497550.1875,3745814.8906,482.7462
30,496988.0938,3746188.5,482.976
31,496630.0625,3746619.25,484.9388
32,496443.5313,3746981.0,486.62
33,496206.5312,3747348.25,486.5944
34,495852.1563,3747490.7031,486.0
35,495568.5391,3747838.7031,486.045
36,495139.7813,3748403.75,486.0
37,494798.6875,3748666.5,486.0
38,494571.7813,3749076.0,486.5072
39,494275.0625,3749432.75,486.7935
40,493749.875,3749811.75,486.1227
41,493191.7813,3750018.25,486.0
42,492556.0625,3750430.5156,472.1509
43,492499.0,3750664.5,473.9118
44,492265.3828,3750858.5469,472.2821
45,491903.2656,3751161.1562,469.6377
46,491452.1484,3751320.9219,455.0262
47,491025.9375,3751761.5,473.7436
48,490628.3047,3752219.5,481.2248
49,489897.25,3752817.75,487.0
50,489429.5938,3753249.5,497.6135
51,489211.7734,3753607.6875,506.2026
52,488826.4453,3753974.2188,523.8839
53,487983.7266,3754730.4375,535.283
54,487461.6562,3755270.75,547.487
55,487431.1641,3755512.2656,561.1487
56,487146.2031,3755978.5625,585.6898
57,486419.5781,3756622.7969,593.1342
58,485715.6875,3757198.75,606.8241
59,485462.6406,3757645.9062,638.1922
60,484890.1563,3758319.25,650.2793
61,484204.8125,3758974.5,666.9763
62,483801.9531,3759410.4531,702.7045
63,483551.8437,3759856.75,726.5864
