,Easting(m),Northing(m),Elevation(m)
0,531652.6094,3725337.625,1337.613
1,531186.1875,3725502.1562,1333.3634
2,530337.0469,3725813.9688,1324.8772
3,529403.75,3726144.5,1369.6825
4,528491.9062,3726592.25,1519.97
5,527644.7344,3727030.5,1549.1481
6,526627.0625,3727559.75,1557.3954
7,525578.375,3728120.75,1456.3995
8,524401.0938,3728748.3906,1346.613
9,523700.2813,3729062.2656,1245.2761
10,522687.7109,3729489.2812,1042.355
11,522147.0937,3729919.0,1042.8287
12,521689.1563,3730388.8438,1042.0985
13,521198.3906,3730552.4375,1089.9906
14,520795.9062,3730793.3594,1077.8193
15,520191.3516,3731245.2969,1029.2793
16,519762.8281,3731567.9219,979.4928
17,519350.4062,3731684.75,907.7833
18,518941.25,3732288.8437,844.9094
19,518623.1875,3733012.625,812.6174
20,518519.8984,3733374.1406,933.6786
21,517815.5781,3733912.4844,963.0598
22,517542.6562,3733929.0156,925.8966
23,517141.4219,3734035.4844,868.8218
24,516790.7656,3734283.4063,868.6343
25,516583.75,3735206.7344,1005.0349
26,516460.5469,3736060.9844,872.679
27,516210.8437,3736337.25,821.4263
28,515741.4063,3736952.1719,785.8775
29,515277.2031,3737222.3281,752.237
30,514933.7187,3737559.0,731.4667
31,514592.4062,3737906.7188,691.2073
32,514235.2188,3738449.5,728.8507
33,513966.7578,3738936.4062,788.8776
34,513193.5625,3739499.3437,822.7849
35,512731.8906,3739911.6094,846.9288
36,512241.0469,3739999.125,798.7718
37,511985.5625,3740125.5,776.185
38,511476.6562,3740492.0,782.453
39,510860.875,3741064.75,819.3714
40,510390.0625,3741637.0,859.0121
41,510029.3125,3742259.0,981.1108
42,509811.9688,3742753.25,1070.1509
43,509377.2187,3743438.5,1084.2106
44,509142.2813,3743923.75,1041.6724
45,508451.4375,3744503.75,970.5557
46,507809.3594,3745017.375,824.0914
47,507242.0625,3745541.6094,733.5754
